#           k/h    P           
   0.420980E-02   0.164520E+05
   0.429484E-02   0.166932E+05
   0.438160E-02   0.169361E+05
   0.447012E-02   0.171807E+05
   0.456042E-02   0.174269E+05
   0.465255E-02   0.176747E+05
   0.474653E-02   0.179240E+05
   0.484242E-02   0.181746E+05
   0.494024E-02   0.184266E+05
   0.504004E-02   0.186798E+05
   0.514186E-02   0.189342E+05
   0.524573E-02   0.191896E+05
   0.535170E-02   0.194459E+05
   0.545981E-02   0.197031E+05
   0.557011E-02   0.199612E+05
   0.568263E-02   0.202198E+05
   0.579743E-02   0.204791E+05
   0.591455E-02   0.207389E+05
   0.603403E-02   0.209990E+05
   0.615592E-02   0.212593E+05
   0.628028E-02   0.215196E+05
   0.640715E-02   0.217798E+05
   0.653658E-02   0.220396E+05
   0.666863E-02   0.222989E+05
   0.680335E-02   0.225577E+05
   0.694078E-02   0.228157E+05
   0.708100E-02   0.230729E+05
   0.722404E-02   0.233290E+05
   0.736998E-02   0.235839E+05
   0.751886E-02   0.238374E+05
   0.767075E-02   0.240894E+05
   0.782571E-02   0.243395E+05
   0.798380E-02   0.245876E+05
   0.814509E-02   0.248335E+05
   0.830963E-02   0.250769E+05
   0.847750E-02   0.253178E+05
   0.864875E-02   0.255557E+05
   0.882347E-02   0.257906E+05
   0.900171E-02   0.260222E+05
   0.918356E-02   0.262502E+05
   0.936908E-02   0.264744E+05
   0.955835E-02   0.266946E+05
   0.975144E-02   0.269104E+05
   0.994843E-02   0.271217E+05
   0.101494E-01   0.273280E+05
   0.103544E-01   0.275293E+05
   0.105636E-01   0.277251E+05
   0.107770E-01   0.279153E+05
   0.109947E-01   0.280994E+05
   0.112168E-01   0.282771E+05
   0.114434E-01   0.284482E+05
   0.116746E-01   0.286122E+05
   0.119104E-01   0.287690E+05
   0.121510E-01   0.289182E+05
   0.123965E-01   0.290597E+05
   0.126469E-01   0.291931E+05
   0.129024E-01   0.293184E+05
   0.131631E-01   0.294350E+05
   0.134290E-01   0.295422E+05
   0.137003E-01   0.296394E+05
   0.139770E-01   0.297259E+05
   0.142594E-01   0.298010E+05
   0.145474E-01   0.298650E+05
   0.148413E-01   0.299189E+05
   0.151411E-01   0.299636E+05
   0.154470E-01   0.300003E+05
   0.157590E-01   0.300299E+05
   0.160774E-01   0.300515E+05
   0.164022E-01   0.300628E+05
   0.167335E-01   0.300615E+05
   0.170716E-01   0.300454E+05
   0.174164E-01   0.300123E+05
   0.177683E-01   0.299623E+05
   0.181272E-01   0.298964E+05
   0.184934E-01   0.298161E+05
   0.188670E-01   0.297224E+05
   0.192481E-01   0.296166E+05
   0.196370E-01   0.294982E+05
   0.200337E-01   0.293656E+05
   0.204384E-01   0.292175E+05
   0.208513E-01   0.290525E+05
   0.212725E-01   0.288695E+05
   0.217022E-01   0.286693E+05
   0.221406E-01   0.284534E+05
   0.225879E-01   0.282234E+05
   0.230442E-01   0.279810E+05
   0.235097E-01   0.277275E+05
   0.239847E-01   0.274635E+05
   0.244692E-01   0.271894E+05
   0.249635E-01   0.269052E+05
   0.254678E-01   0.266112E+05
   0.259823E-01   0.263077E+05
   0.265072E-01   0.259942E+05
   0.270426E-01   0.256702E+05
   0.275889E-01   0.253353E+05
   0.281463E-01   0.249890E+05
   0.287149E-01   0.246314E+05
   0.292949E-01   0.242639E+05
   0.298867E-01   0.238884E+05
   0.304905E-01   0.235069E+05
   0.311064E-01   0.231212E+05
   0.317348E-01   0.227328E+05
   0.323759E-01   0.223426E+05
   0.330299E-01   0.219513E+05
   0.336972E-01   0.215594E+05
   0.343779E-01   0.211676E+05
   0.350724E-01   0.207767E+05
   0.357809E-01   0.203877E+05
   0.365038E-01   0.200022E+05
   0.372412E-01   0.196214E+05
   0.379935E-01   0.192463E+05
   0.387610E-01   0.188779E+05
   0.395440E-01   0.185170E+05
   0.403429E-01   0.181638E+05
   0.411579E-01   0.178189E+05
   0.419893E-01   0.174826E+05
   0.428375E-01   0.171556E+05
   0.437029E-01   0.168389E+05
   0.445858E-01   0.165337E+05
   0.454865E-01   0.162412E+05
   0.464053E-01   0.159624E+05
   0.473428E-01   0.156973E+05
   0.482992E-01   0.154450E+05
   0.492749E-01   0.152042E+05
   0.502703E-01   0.149740E+05
   0.512858E-01   0.147533E+05
   0.523219E-01   0.145410E+05
   0.533789E-01   0.143363E+05
   0.544572E-01   0.141381E+05
   0.555573E-01   0.139455E+05
   0.566796E-01   0.137574E+05
   0.578246E-01   0.135725E+05
   0.589927E-01   0.133897E+05
   0.601845E-01   0.132076E+05
   0.614003E-01   0.130244E+05
   0.626407E-01   0.128381E+05
   0.639061E-01   0.126471E+05
   0.651971E-01   0.124487E+05
   0.665142E-01   0.122403E+05
   0.678578E-01   0.120195E+05
   0.692287E-01   0.117867E+05
   0.706272E-01   0.115442E+05
   0.720539E-01   0.112940E+05
   0.735095E-01   0.110346E+05
   0.749945E-01   0.107615E+05
   0.765095E-01   0.104713E+05
   0.780551E-01   0.101666E+05
   0.796319E-01   0.985279E+04
   0.812406E-01   0.953472E+04
   0.828817E-01   0.921484E+04
   0.845561E-01   0.889499E+04
   0.862642E-01   0.857760E+04
   0.880068E-01   0.826572E+04
   0.897847E-01   0.796218E+04
   0.915985E-01   0.766990E+04
   0.934489E-01   0.739145E+04
   0.953367E-01   0.712912E+04
   0.972626E-01   0.688513E+04
   0.992274E-01   0.666138E+04
   0.101232E+00   0.645884E+04
   0.103277E+00   0.627753E+04
   0.105363E+00   0.611715E+04
   0.107492E+00   0.597564E+04
   0.109663E+00   0.585043E+04
   0.111879E+00   0.573831E+04
   0.114139E+00   0.563520E+04
   0.116445E+00   0.553710E+04
   0.118797E+00   0.543982E+04
   0.121197E+00   0.533944E+04
   0.123645E+00   0.523252E+04
   0.126143E+00   0.511613E+04
   0.128691E+00   0.498832E+04
   0.131291E+00   0.484794E+04
   0.133943E+00   0.469516E+04
   0.136649E+00   0.453113E+04
   0.139409E+00   0.435822E+04
   0.142226E+00   0.417954E+04
   0.145099E+00   0.399913E+04
   0.148030E+00   0.382127E+04
   0.151020E+00   0.365065E+04
   0.154071E+00   0.349153E+04
   0.157184E+00   0.334750E+04
   0.160359E+00   0.322059E+04
   0.163598E+00   0.311133E+04
   0.166903E+00   0.301820E+04
   0.170275E+00   0.293858E+04
   0.173715E+00   0.286893E+04
   0.177224E+00   0.280536E+04
   0.180804E+00   0.274379E+04
   0.184457E+00   0.268002E+04
   0.188183E+00   0.261015E+04
   0.191985E+00   0.253151E+04
   0.195863E+00   0.244337E+04
   0.199820E+00   0.234736E+04
   0.203856E+00   0.224668E+04
   0.207974E+00   0.214524E+04
   0.212176E+00   0.204687E+04
   0.216462E+00   0.195499E+04
   0.220835E+00   0.187240E+04
   0.225296E+00   0.180061E+04
   0.229847E+00   0.173941E+04
   0.234490E+00   0.168682E+04
   0.239227E+00   0.163972E+04
   0.244060E+00   0.159456E+04
   0.248990E+00   0.154801E+04
   0.254020E+00   0.149762E+04
   0.259152E+00   0.144249E+04
   0.264387E+00   0.138358E+04
   0.269728E+00   0.132318E+04
   0.275177E+00   0.126402E+04
   0.280736E+00   0.120863E+04
   0.286407E+00   0.115880E+04
   0.292193E+00   0.111505E+04
   0.298096E+00   0.107645E+04
   0.304118E+00   0.104104E+04
   0.310261E+00   0.100657E+04
   0.316529E+00   0.971204E+03
   0.322923E+00   0.934080E+03
   0.329447E+00   0.895578E+03
   0.336102E+00   0.857038E+03
   0.342892E+00   0.820092E+03
   0.349819E+00   0.785971E+03
   0.356885E+00   0.755053E+03
   0.364095E+00   0.726805E+03
   0.371450E+00   0.700132E+03
   0.378954E+00   0.673900E+03
   0.386609E+00   0.647382E+03
   0.394419E+00   0.620620E+03
   0.402387E+00   0.594323E+03
   0.410516E+00   0.569267E+03
   0.418809E+00   0.545867E+03
   0.427269E+00   0.524129E+03
   0.435901E+00   0.503546E+03
   0.444706E+00   0.483512E+03
   0.453690E+00   0.463766E+03
   0.462855E+00   0.444330E+03
   0.472206E+00   0.425552E+03
   0.481745E+00   0.407754E+03
   0.491477E+00   0.390935E+03
   0.501405E+00   0.374931E+03
   0.511534E+00   0.359471E+03
   0.521868E+00   0.344409E+03
   0.532411E+00   0.329827E+03
   0.543166E+00   0.315834E+03
   0.554139E+00   0.302520E+03
   0.565333E+00   0.289804E+03
   0.576753E+00   0.277583E+03
   0.588404E+00   0.265789E+03
   0.600291E+00   0.254427E+03
   0.612418E+00   0.243522E+03
   0.624789E+00   0.233087E+03
   0.637411E+00   0.223097E+03
   0.650288E+00   0.213521E+03
   0.663424E+00   0.204333E+03
   0.676826E+00   0.195515E+03
   0.690499E+00   0.187054E+03
   0.704448E+00   0.178938E+03
   0.718679E+00   0.171154E+03
   0.733197E+00   0.163689E+03
   0.748009E+00   0.156532E+03
   0.763119E+00   0.149671E+03
   0.778536E+00   0.143096E+03
   0.794263E+00   0.136795E+03
   0.810308E+00   0.130758E+03
   0.826677E+00   0.124976E+03
   0.843378E+00   0.119437E+03
   0.860415E+00   0.114133E+03
   0.877797E+00   0.109054E+03
   0.895529E+00   0.104192E+03
   0.913620E+00   0.995385E+02
   0.932076E+00   0.950846E+02
   0.950906E+00   0.908223E+02
   0.970115E+00   0.867438E+02
   0.989713E+00   0.828416E+02
   0.100971E+01   0.791085E+02
   0.103010E+01   0.755374E+02
   0.105091E+01   0.721217E+02
   0.107214E+01   0.688548E+02
   0.109380E+01   0.657307E+02
   0.111590E+01   0.627433E+02
   0.113844E+01   0.598870E+02
   0.116144E+01   0.571563E+02
   0.118490E+01   0.545458E+02
   0.120884E+01   0.520505E+02
   0.123326E+01   0.496655E+02
   0.125817E+01   0.473863E+02
   0.128359E+01   0.452082E+02
   0.130952E+01   0.431269E+02
   0.133597E+01   0.411384E+02
   0.136296E+01   0.392386E+02
   0.139049E+01   0.374236E+02
   0.141858E+01   0.356898E+02
   0.144724E+01   0.340337E+02
   0.147648E+01   0.324519E+02
   0.150630E+01   0.309413E+02
   0.153673E+01   0.294986E+02
   0.156778E+01   0.281210E+02
   0.159945E+01   0.268056E+02
   0.163176E+01   0.255497E+02
   0.166472E+01   0.243507E+02
   0.169835E+01   0.232061E+02
   0.173266E+01   0.221135E+02
   0.176766E+01   0.210706E+02
   0.180337E+01   0.200753E+02
   0.183980E+01   0.191256E+02
   0.187697E+01   0.182194E+02
   0.191489E+01   0.173551E+02
   0.195357E+01   0.165307E+02
   0.199304E+01   0.157446E+02
   0.203330E+01   0.149951E+02
   0.207437E+01   0.142806E+02
   0.211628E+01   0.135995E+02
   0.215903E+01   0.129505E+02
   0.220265E+01   0.123320E+02
   0.224714E+01   0.117427E+02
   0.229254E+01   0.111814E+02
   0.233885E+01   0.106466E+02
   0.238610E+01   0.101373E+02
   0.243430E+01   0.965234E+01
