#           k/h    P           
   0.420980E-02   0.166653E+05
   0.429484E-02   0.169093E+05
   0.438160E-02   0.171551E+05
   0.447012E-02   0.174025E+05
   0.456042E-02   0.176516E+05
   0.465255E-02   0.179022E+05
   0.474653E-02   0.181544E+05
   0.484242E-02   0.184079E+05
   0.494024E-02   0.186627E+05
   0.504004E-02   0.189188E+05
   0.514186E-02   0.191760E+05
   0.524573E-02   0.194343E+05
   0.535170E-02   0.196935E+05
   0.545981E-02   0.199535E+05
   0.557011E-02   0.202144E+05
   0.568263E-02   0.204759E+05
   0.579743E-02   0.207380E+05
   0.591455E-02   0.210006E+05
   0.603403E-02   0.212635E+05
   0.615592E-02   0.215265E+05
   0.628028E-02   0.217896E+05
   0.640715E-02   0.220524E+05
   0.653658E-02   0.223149E+05
   0.666863E-02   0.225769E+05
   0.680335E-02   0.228383E+05
   0.694078E-02   0.230990E+05
   0.708100E-02   0.233587E+05
   0.722404E-02   0.236173E+05
   0.736998E-02   0.238747E+05
   0.751886E-02   0.241307E+05
   0.767075E-02   0.243850E+05
   0.782571E-02   0.246374E+05
   0.798380E-02   0.248878E+05
   0.814509E-02   0.251359E+05
   0.830963E-02   0.253816E+05
   0.847750E-02   0.256245E+05
   0.864875E-02   0.258646E+05
   0.882347E-02   0.261015E+05
   0.900171E-02   0.263350E+05
   0.918356E-02   0.265648E+05
   0.936908E-02   0.267908E+05
   0.955835E-02   0.270126E+05
   0.975144E-02   0.272300E+05
   0.994843E-02   0.274428E+05
   0.101494E-01   0.276506E+05
   0.103544E-01   0.278532E+05
   0.105636E-01   0.280502E+05
   0.107770E-01   0.282415E+05
   0.109947E-01   0.284266E+05
   0.112168E-01   0.286053E+05
   0.114434E-01   0.287771E+05
   0.116746E-01   0.289419E+05
   0.119104E-01   0.290992E+05
   0.121510E-01   0.292488E+05
   0.123965E-01   0.293906E+05
   0.126469E-01   0.295242E+05
   0.129024E-01   0.296495E+05
   0.131631E-01   0.297660E+05
   0.134290E-01   0.298730E+05
   0.137003E-01   0.299698E+05
   0.139770E-01   0.300557E+05
   0.142594E-01   0.301301E+05
   0.145474E-01   0.301932E+05
   0.148413E-01   0.302460E+05
   0.151411E-01   0.302896E+05
   0.154470E-01   0.303250E+05
   0.157590E-01   0.303531E+05
   0.160774E-01   0.303732E+05
   0.164022E-01   0.303829E+05
   0.167335E-01   0.303799E+05
   0.170716E-01   0.303618E+05
   0.174164E-01   0.303266E+05
   0.177683E-01   0.302741E+05
   0.181272E-01   0.302056E+05
   0.184934E-01   0.301223E+05
   0.188670E-01   0.300256E+05
   0.192481E-01   0.299167E+05
   0.196370E-01   0.297949E+05
   0.200337E-01   0.296588E+05
   0.204384E-01   0.295070E+05
   0.208513E-01   0.293381E+05
   0.212725E-01   0.291510E+05
   0.217022E-01   0.289464E+05
   0.221406E-01   0.287260E+05
   0.225879E-01   0.284914E+05
   0.230442E-01   0.282442E+05
   0.235097E-01   0.279858E+05
   0.239847E-01   0.277170E+05
   0.244692E-01   0.274378E+05
   0.249635E-01   0.271486E+05
   0.254678E-01   0.268495E+05
   0.259823E-01   0.265408E+05
   0.265072E-01   0.262221E+05
   0.270426E-01   0.258929E+05
   0.275889E-01   0.255526E+05
   0.281463E-01   0.252010E+05
   0.287149E-01   0.248378E+05
   0.292949E-01   0.244648E+05
   0.298867E-01   0.240838E+05
   0.304905E-01   0.236968E+05
   0.311064E-01   0.233056E+05
   0.317348E-01   0.229119E+05
   0.323759E-01   0.225164E+05
