#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.239460E+00   0.866476E+06   0.795002E+06   0.379704E+00  -0.426162E+00   0.174014E+05   0.850514E+06   0.854475E+06   0.850514E+06  -0.191972E-01   0.406991E+06   0.406939E+06   0.724073E-01
   0.244682E+00   0.844657E+06   0.775173E+06   0.354523E+00  -0.397903E+00   0.163720E+05   0.829126E+06   0.832990E+06   0.829126E+06  -0.187144E-01   0.396757E+06   0.396708E+06   0.668427E-01
   0.249905E+00   0.822900E+06   0.755333E+06   0.331113E+00  -0.371633E+00   0.154039E+05   0.807787E+06   0.811555E+06   0.807787E+06  -0.182328E-01   0.386546E+06   0.386500E+06   0.623911E-01
   0.255128E+00   0.800514E+06   0.734830E+06   0.309052E+00  -0.346879E+00   0.144801E+05   0.785817E+06   0.789485E+06   0.785817E+06  -0.177369E-01   0.376034E+06   0.375988E+06   0.591109E-01
   0.260350E+00   0.777374E+06   0.713554E+06   0.288191E+00  -0.323474E+00   0.135956E+05   0.763094E+06   0.766658E+06   0.763094E+06  -0.172240E-01   0.365161E+06   0.365116E+06   0.568184E-01
   0.265573E+00   0.753863E+06   0.691878E+06   0.268580E+00  -0.301472E+00   0.127546E+05   0.739997E+06   0.743455E+06   0.739997E+06  -0.167027E-01   0.354109E+06   0.354065E+06   0.551764E-01
   0.270796E+00   0.730622E+06   0.670429E+06   0.250344E+00  -0.281012E+00   0.119648E+05   0.717162E+06   0.720516E+06   0.717162E+06  -0.161873E-01   0.343182E+06   0.343139E+06   0.538009E-01
   0.276018E+00   0.708316E+06   0.649847E+06   0.233592E+00  -0.262216E+00   0.112333E+05   0.695246E+06   0.698498E+06   0.695246E+06  -0.156926E-01   0.332695E+06   0.332652E+06   0.523588E-01
   0.281241E+00   0.687485E+06   0.630657E+06   0.218373E+00  -0.245138E+00   0.105642E+05   0.674785E+06   0.677944E+06   0.674785E+06  -0.152308E-01   0.322905E+06   0.322862E+06   0.506361E-01
   0.286463E+00   0.668456E+06   0.613170E+06   0.204653E+00  -0.229741E+00   0.995771E+04   0.656101E+06   0.659173E+06   0.656101E+06  -0.148090E-01   0.313964E+06   0.313923E+06   0.485640E-01
   0.291686E+00   0.651259E+06   0.597413E+06   0.192311E+00  -0.215889E+00   0.940952E+04   0.639224E+06   0.642218E+06   0.639224E+06  -0.144281E-01   0.305888E+06   0.305848E+06   0.462043E-01
   0.296909E+00   0.635637E+06   0.583136E+06   0.181155E+00  -0.203366E+00   0.891154E+04   0.623897E+06   0.626822E+06   0.623897E+06  -0.140822E-01   0.298554E+06   0.298516E+06   0.437064E-01
   0.302131E+00   0.621149E+06   0.569916E+06   0.170962E+00  -0.191924E+00   0.845411E+04   0.609688E+06   0.612547E+06   0.609688E+06  -0.137614E-01   0.291755E+06   0.291718E+06   0.412520E-01
   0.307354E+00   0.607317E+06   0.557294E+06   0.161525E+00  -0.181332E+00   0.802795E+04   0.596121E+06   0.598918E+06   0.596121E+06  -0.134552E-01   0.285263E+06   0.285227E+06   0.390033E-01
   0.312577E+00   0.593732E+06   0.544877E+06   0.152681E+00  -0.171404E+00   0.762566E+04   0.582794E+06   0.585529E+06   0.582794E+06  -0.131544E-01   0.278886E+06   0.278851E+06   0.370656E-01
   0.317799E+00   0.580127E+06   0.532413E+06   0.144319E+00  -0.162019E+00   0.724241E+04   0.569442E+06   0.572115E+06   0.569442E+06  -0.128530E-01   0.272497E+06   0.272463E+06   0.354713E-01
   0.323022E+00   0.566415E+06   0.519822E+06   0.136387E+00  -0.153116E+00   0.687600E+04   0.555981E+06   0.558592E+06   0.555981E+06  -0.125492E-01   0.266056E+06   0.266022E+06   0.341850E-01
   0.328244E+00   0.552683E+06   0.507190E+06   0.128877E+00  -0.144687E+00   0.652655E+04   0.542496E+06   0.545044E+06   0.542496E+06  -0.122448E-01   0.259603E+06   0.259570E+06   0.331232E-01
   0.333467E+00   0.539128E+06   0.494711E+06   0.121806E+00  -0.136752E+00   0.619539E+04   0.529184E+06   0.531670E+06   0.529184E+06  -0.119444E-01   0.253233E+06   0.253200E+06   0.321822E-01
   0.338690E+00   0.525989E+06   0.482614E+06   0.115198E+00  -0.129335E+00   0.588408E+04   0.516279E+06   0.518706E+06   0.516279E+06  -0.116531E-01   0.247058E+06   0.247026E+06   0.312654E-01
   0.343912E+00   0.513468E+06   0.471095E+06   0.109064E+00  -0.122450E+00   0.559370E+04   0.503984E+06   0.506354E+06   0.503984E+06  -0.113756E-01   0.241174E+06   0.241143E+06   0.303043E-01
   0.349135E+00   0.501691E+06   0.460275E+06   0.103397E+00  -0.116089E+00   0.532422E+04   0.492421E+06   0.494737E+06   0.492421E+06  -0.111146E-01   0.235641E+06   0.235610E+06   0.292685E-01
   0.354358E+00   0.490678E+06   0.450173E+06   0.981679E-01  -0.110219E+00   0.507458E+04   0.481611E+06   0.483877E+06   0.481611E+06  -0.108706E-01   0.230468E+06   0.230438E+06   0.281646E-01
   0.359580E+00   0.480357E+06   0.440720E+06   0.933318E-01  -0.104790E+00   0.484279E+04   0.471483E+06   0.473702E+06   0.471483E+06  -0.106420E-01   0.225622E+06   0.225593E+06   0.270267E-01
   0.364803E+00   0.470592E+06   0.431784E+06   0.888359E-01  -0.997426E-01   0.462642E+04   0.461902E+06   0.464076E+06   0.461902E+06  -0.104257E-01   0.221037E+06   0.221009E+06   0.259024E-01
   0.370025E+00   0.461225E+06   0.423213E+06   0.846277E-01  -0.950182E-01   0.442301E+04   0.452711E+06   0.454843E+06   0.452711E+06  -0.102183E-01   0.216639E+06   0.216611E+06   0.248384E-01
   0.375248E+00   0.452107E+06   0.414866E+06   0.806619E-01  -0.905660E-01   0.423039E+04   0.443764E+06   0.445854E+06   0.443764E+06  -0.100163E-01   0.212357E+06   0.212331E+06   0.238688E-01
   0.380471E+00   0.443124E+06   0.406634E+06   0.769038E-01  -0.863471E-01   0.404696E+04   0.434948E+06   0.436997E+06   0.434948E+06  -0.981735E-02   0.208139E+06   0.208113E+06   0.230082E-01
   0.385693E+00   0.434223E+06   0.398466E+06   0.733316E-01  -0.823369E-01   0.387170E+04   0.426211E+06   0.428219E+06   0.426211E+06  -0.962012E-02   0.203958E+06   0.203932E+06   0.222520E-01
   0.390916E+00   0.425405E+06   0.390367E+06   0.699351E-01  -0.785240E-01   0.370425E+04   0.417554E+06   0.419522E+06   0.417554E+06  -0.942474E-02   0.199816E+06   0.199790E+06   0.215802E-01
   0.396139E+00   0.416731E+06   0.382394E+06   0.667138E-01  -0.749079E-01   0.354471E+04   0.409038E+06   0.410966E+06   0.409038E+06  -0.923251E-02   0.195740E+06   0.195715E+06   0.209649E-01
   0.401361E+00   0.408280E+06   0.374625E+06   0.636702E-01  -0.714911E-01   0.339332E+04   0.400740E+06   0.402629E+06   0.400740E+06  -0.904521E-02   0.191770E+06   0.191745E+06   0.203780E-01
   0.406584E+00   0.400118E+06   0.367125E+06   0.608040E-01  -0.682735E-01   0.325023E+04   0.392726E+06   0.394578E+06   0.392726E+06  -0.886434E-02   0.187935E+06   0.187911E+06   0.197967E-01
   0.411806E+00   0.392284E+06   0.359930E+06   0.581105E-01  -0.652497E-01   0.311527E+04   0.385035E+06   0.386852E+06   0.385035E+06  -0.869075E-02   0.184255E+06   0.184231E+06   0.192078E-01
   0.417029E+00   0.384794E+06   0.353056E+06   0.555820E-01  -0.624110E-01   0.298816E+04   0.377684E+06   0.379465E+06   0.377684E+06  -0.852480E-02   0.180736E+06   0.180713E+06   0.186092E-01
   0.422252E+00   0.377642E+06   0.346498E+06   0.532079E-01  -0.597455E-01   0.286843E+04   0.370664E+06   0.372413E+06   0.370664E+06  -0.836637E-02   0.177378E+06   0.177355E+06   0.180075E-01
   0.427474E+00   0.370792E+06   0.340220E+06   0.509740E-01  -0.572374E-01   0.275541E+04   0.363941E+06   0.365659E+06   0.363941E+06  -0.821462E-02   0.174160E+06   0.174138E+06   0.174145E-01
   0.432697E+00   0.364181E+06   0.334162E+06   0.488640E-01  -0.548683E-01   0.264832E+04   0.357454E+06   0.359141E+06   0.357454E+06  -0.806819E-02   0.171056E+06   0.171034E+06   0.168430E-01
   0.437920E+00   0.357750E+06   0.328268E+06   0.468630E-01  -0.526217E-01   0.254640E+04   0.351142E+06   0.352800E+06   0.351142E+06  -0.792573E-02   0.168036E+06   0.168014E+06   0.163036E-01
   0.443142E+00   0.351458E+06   0.322499E+06   0.449600E-01  -0.504851E-01   0.244913E+04   0.344967E+06   0.346596E+06   0.344967E+06  -0.778635E-02   0.165081E+06   0.165060E+06   0.158022E-01
   0.448365E+00   0.345285E+06   0.316836E+06   0.431472E-01  -0.484498E-01   0.235615E+04   0.338908E+06   0.340508E+06   0.338908E+06  -0.764959E-02   0.162181E+06   0.162161E+06   0.153396E-01
   0.453587E+00   0.339220E+06   0.311270E+06   0.414187E-01  -0.465090E-01   0.226718E+04   0.332955E+06   0.334527E+06   0.332955E+06  -0.751521E-02   0.159332E+06   0.159312E+06   0.149114E-01
   0.458810E+00   0.333265E+06   0.305802E+06   0.397702E-01  -0.446583E-01   0.218206E+04   0.327109E+06   0.328654E+06   0.327109E+06  -0.738327E-02   0.156535E+06   0.156515E+06   0.145102E-01
   0.464033E+00   0.327439E+06   0.300452E+06   0.382001E-01  -0.428955E-01   0.210072E+04   0.321390E+06   0.322908E+06   0.321390E+06  -0.725417E-02   0.153798E+06   0.153778E+06   0.141276E-01
   0.469255E+00   0.321769E+06   0.295245E+06   0.367075E-01  -0.412196E-01   0.202316E+04   0.315823E+06   0.317316E+06   0.315823E+06  -0.712854E-02   0.151135E+06   0.151115E+06   0.137563E-01
   0.474478E+00   0.316275E+06   0.290201E+06   0.352907E-01  -0.396288E-01   0.194933E+04   0.310430E+06   0.311897E+06   0.310430E+06  -0.700681E-02   0.148554E+06   0.148535E+06   0.133913E-01
   0.479701E+00   0.310962E+06   0.285324E+06   0.339463E-01  -0.381193E-01   0.187909E+04   0.305215E+06   0.306657E+06   0.305215E+06  -0.688909E-02   0.146058E+06   0.146039E+06   0.130303E-01
   0.484923E+00   0.305822E+06   0.280609E+06   0.326699E-01  -0.366862E-01   0.181223E+04   0.300170E+06   0.301589E+06   0.300170E+06  -0.677522E-02   0.143644E+06   0.143626E+06   0.126737E-01
   0.490146E+00   0.300845E+06   0.276044E+06   0.314570E-01  -0.353243E-01   0.174852E+04   0.295285E+06   0.296681E+06   0.295285E+06  -0.666497E-02   0.141306E+06   0.141288E+06   0.123239E-01
   0.495368E+00   0.296018E+06   0.271617E+06   0.303029E-01  -0.340285E-01   0.168776E+04   0.290547E+06   0.291921E+06   0.290547E+06  -0.655802E-02   0.139039E+06   0.139021E+06   0.119842E-01
   0.500591E+00   0.291321E+06   0.267310E+06   0.292031E-01  -0.327936E-01   0.162970E+04   0.285938E+06   0.287290E+06   0.285938E+06  -0.645398E-02   0.136833E+06   0.136816E+06   0.116580E-01
   0.505814E+00   0.286735E+06   0.263104E+06   0.281529E-01  -0.316144E-01   0.157412E+04   0.281437E+06   0.282768E+06   0.281437E+06  -0.635239E-02   0.134679E+06   0.134662E+06   0.113470E-01
   0.511036E+00   0.282244E+06   0.258984E+06   0.271484E-01  -0.304864E-01   0.152082E+04   0.277028E+06   0.278338E+06   0.277028E+06  -0.625289E-02   0.132570E+06   0.132553E+06   0.110520E-01
   0.516259E+00   0.277841E+06   0.254943E+06   0.261868E-01  -0.294067E-01   0.146966E+04   0.272706E+06   0.273996E+06   0.272706E+06  -0.615533E-02   0.130502E+06   0.130485E+06   0.107722E-01
   0.521482E+00   0.273527E+06   0.250985E+06   0.252664E-01  -0.283733E-01   0.142057E+04   0.268472E+06   0.269742E+06   0.268472E+06  -0.605977E-02   0.128476E+06   0.128459E+06   0.105059E-01
   0.526704E+00   0.269308E+06   0.247112E+06   0.243856E-01  -0.273843E-01   0.137348E+04   0.264330E+06   0.265581E+06   0.264330E+06  -0.596628E-02   0.126493E+06   0.126477E+06   0.102506E-01
   0.531927E+00   0.265184E+06   0.243326E+06   0.235430E-01  -0.264381E-01   0.132832E+04   0.260283E+06   0.261514E+06   0.260283E+06  -0.587491E-02   0.124556E+06   0.124540E+06   0.100040E-01
   0.537149E+00   0.261159E+06   0.239632E+06   0.227369E-01  -0.255331E-01   0.128503E+04   0.256332E+06   0.257545E+06   0.256332E+06  -0.578575E-02   0.122666E+06   0.122650E+06   0.976404E-02
   0.542372E+00   0.257238E+06   0.236034E+06   0.219663E-01  -0.246677E-01   0.124354E+04   0.252483E+06   0.253678E+06   0.252483E+06  -0.569887E-02   0.120824E+06   0.120809E+06   0.952959E-02
   0.547595E+00   0.253423E+06   0.232533E+06   0.212296E-01  -0.238405E-01   0.120381E+04   0.248738E+06   0.249915E+06   0.248738E+06  -0.561434E-02   0.119032E+06   0.119017E+06   0.930030E-02
   0.552817E+00   0.249708E+06   0.229125E+06   0.205250E-01  -0.230494E-01   0.116572E+04   0.245092E+06   0.246252E+06   0.245092E+06  -0.553205E-02   0.117287E+06   0.117272E+06   0.907640E-02
   0.558040E+00   0.246086E+06   0.225802E+06   0.198504E-01  -0.222919E-01   0.112918E+04   0.241537E+06   0.242681E+06   0.241537E+06  -0.545181E-02   0.115586E+06   0.115571E+06   0.885850E-02
   0.563263E+00   0.242549E+06   0.222557E+06   0.192040E-01  -0.215660E-01   0.109409E+04   0.238066E+06   0.239193E+06   0.238066E+06  -0.537345E-02   0.113925E+06   0.113910E+06   0.864734E-02
   0.578426E+00   0.232717E+06   0.213536E+06   0.174720E-01  -0.196212E-01   0.999726E+03   0.228415E+06   0.229496E+06   0.228415E+06  -0.515561E-02   0.109306E+06   0.109292E+06   0.807738E-02
   0.613471E+00   0.212161E+06   0.194674E+06   0.141606E-01  -0.159027E-01   0.817685E+03   0.208238E+06   0.209225E+06   0.208238E+06  -0.470021E-02   0.996513E+05   0.996385E+05   0.695823E-02
   0.650640E+00   0.193375E+06   0.177437E+06   0.114742E-01  -0.128860E-01   0.668251E+03   0.189800E+06   0.190699E+06   0.189800E+06  -0.428402E-02   0.908277E+05   0.908160E+05   0.598482E-02
   0.908042E+00   0.113349E+06   0.104007E+06   0.345296E-02  -0.387808E-02   0.209059E+03   0.111253E+06   0.111781E+06   0.111253E+06  -0.251111E-02   0.532396E+05   0.532327E+05   0.254402E-02
   0.126727E+01   0.656117E+05   0.602039E+05   0.102616E-02  -0.115254E-02   0.637335E+02   0.643978E+05   0.647037E+05   0.643978E+05  -0.145354E-02   0.308175E+05   0.308134E+05   0.108018E-02
   0.176862E+01   0.375710E+05   0.344741E+05   0.301678E-03  -0.338846E-03   0.190378E+02   0.368758E+05   0.370510E+05   0.368758E+05  -0.832333E-03   0.176469E+05   0.176444E+05   0.463416E-03
   0.246831E+01   0.213156E+05   0.195584E+05   0.878704E-04  -0.987010E-04   0.559710E+01   0.209211E+05   0.210206E+05   0.209211E+05  -0.472217E-03   0.100118E+05   0.100103E+05   0.204468E-03
