#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.180853E-03   0.208267E+08   0.192075E+08   0.217512E+08   0.216439E+08   0.191981E+08   0.205484E+08   0.205548E+08   0.205542E+08  -0.464170E+00   0.981832E+07   0.981827E+07   0.971903E+02
   0.199675E-03   0.208250E+08   0.192058E+08   0.209795E+08   0.208523E+08   0.191939E+08   0.205467E+08   0.205531E+08   0.205523E+08  -0.464121E+00   0.981748E+07   0.981742E+07   0.106327E+03
   0.220457E-03   0.208229E+08   0.192038E+08   0.200731E+08   0.199234E+08   0.191888E+08   0.205446E+08   0.205510E+08   0.205499E+08  -0.464063E+00   0.981646E+07   0.981638E+07   0.116096E+03
   0.243401E-03   0.208203E+08   0.192014E+08   0.190174E+08   0.188425E+08   0.191825E+08   0.205420E+08   0.205485E+08   0.205471E+08  -0.463993E+00   0.981522E+07   0.981512E+07   0.126463E+03
   0.268734E-03   0.208172E+08   0.191985E+08   0.178005E+08   0.175982E+08   0.191750E+08   0.205389E+08   0.205454E+08   0.205436E+08  -0.463908E+00   0.981371E+07   0.981360E+07   0.137367E+03
   0.296702E-03   0.208134E+08   0.191949E+08   0.164155E+08   0.161843E+08   0.191658E+08   0.205351E+08   0.205417E+08   0.205395E+08  -0.463806E+00   0.981189E+07   0.981176E+07   0.148705E+03
   0.327582E-03   0.208089E+08   0.191906E+08   0.148641E+08   0.146036E+08   0.191547E+08   0.205306E+08   0.205371E+08   0.205346E+08  -0.463685E+00   0.980969E+07   0.980954E+07   0.160327E+03
   0.361676E-03   0.208034E+08   0.191854E+08   0.131603E+08   0.128722E+08   0.191413E+08   0.205251E+08   0.205317E+08   0.205286E+08  -0.463539E+00   0.980704E+07   0.980686E+07   0.172026E+03
   0.399318E-03   0.207968E+08   0.191792E+08   0.113348E+08   0.110234E+08   0.191250E+08   0.205186E+08   0.205252E+08   0.205216E+08  -0.463367E+00   0.980385E+07   0.980363E+07   0.183529E+03
   0.440878E-03   0.207889E+08   0.191717E+08   0.943926E+07   0.911209E+07   0.191053E+08   0.205106E+08   0.205173E+08   0.205131E+08  -0.463162E+00   0.980002E+07   0.979976E+07   0.194497E+03
