#    L    TT             EE             BB             TE          
    91   0.225700E+04   0.600853E+00   0.235988E-02  -0.161050E+02
    92   0.228410E+04   0.615462E+00   0.241233E-02  -0.167008E+02
    93   0.231147E+04   0.630051E+00   0.246540E-02  -0.173012E+02
    94   0.233890E+04   0.644583E+00   0.251909E-02  -0.179048E+02
    95   0.236662E+04   0.659058E+00   0.257341E-02  -0.185123E+02
    96   0.239432E+04   0.673463E+00   0.262836E-02  -0.191233E+02
    97   0.242245E+04   0.687784E+00   0.268394E-02  -0.197368E+02
    98   0.245079E+04   0.702013E+00   0.274016E-02  -0.203508E+02
    99   0.247919E+04   0.716115E+00   0.279701E-02  -0.209684E+02
   100   0.250788E+04   0.730091E+00   0.285451E-02  -0.215851E+02
   101   0.253671E+04   0.744000E+00   0.291266E-02  -0.222039E+02
   102   0.256605E+04   0.757695E+00   0.297145E-02  -0.228228E+02
   103   0.259531E+04   0.771251E+00   0.303090E-02  -0.234425E+02
   104   0.262478E+04   0.784669E+00   0.309100E-02  -0.240600E+02
   105   0.265440E+04   0.797874E+00   0.315176E-02  -0.246771E+02
   106   0.268423E+04   0.810944E+00   0.321318E-02  -0.252929E+02
   107   0.271399E+04   0.823728E+00   0.327528E-02  -0.259061E+02
   108   0.274411E+04   0.836304E+00   0.333804E-02  -0.265174E+02
   109   0.277438E+04   0.848596E+00   0.340147E-02  -0.271255E+02
   110   0.280472E+04   0.860607E+00   0.346558E-02  -0.277289E+02
   111   0.283521E+04   0.872410E+00   0.353037E-02  -0.283292E+02
   112   0.286584E+04   0.883933E+00   0.359584E-02  -0.289256E+02
   113   0.289670E+04   0.895175E+00   0.366201E-02  -0.295167E+02
   114   0.292763E+04   0.906062E+00   0.372886E-02  -0.301017E+02
   115   0.295878E+04   0.916744E+00   0.379641E-02  -0.306805E+02
   116   0.298993E+04   0.926998E+00   0.386466E-02  -0.312524E+02
   117   0.302137E+04   0.936898E+00   0.393362E-02  -0.318168E+02
   118   0.305295E+04   0.946594E+00   0.400328E-02  -0.323742E+02
   119   0.308453E+04   0.955937E+00   0.407366E-02  -0.329226E+02
   120   0.311625E+04   0.964778E+00   0.414476E-02  -0.334618E+02
   121   0.314797E+04   0.973416E+00   0.421657E-02  -0.339918E+02
   122   0.317975E+04   0.981554E+00   0.428912E-02  -0.345120E+02
   123   0.321160E+04   0.989266E+00   0.436240E-02  -0.350223E+02
   124   0.324352E+04   0.996626E+00   0.443642E-02  -0.355198E+02
   125   0.327543E+04   0.100356E+01   0.451118E-02  -0.360065E+02
   126   0.330740E+04   0.101015E+01   0.458669E-02  -0.364819E+02
   127   0.333937E+04   0.101623E+01   0.466296E-02  -0.369452E+02
   128   0.337132E+04   0.102197E+01   0.473999E-02  -0.373955E+02
   129   0.340334E+04   0.102721E+01   0.481778E-02  -0.378322E+02
   130   0.343535E+04   0.103195E+01   0.489635E-02  -0.382545E+02
   131   0.346735E+04   0.103634E+01   0.497570E-02  -0.386639E+02
   132   0.349941E+04   0.104023E+01   0.505583E-02  -0.390575E+02
   133   0.353139E+04   0.104371E+01   0.513676E-02  -0.394375E+02
   134   0.356336E+04   0.104675E+01   0.521849E-02  -0.397996E+02
   135   0.359532E+04   0.104930E+01   0.530102E-02  -0.401467E+02
   136   0.362713E+04   0.105136E+01   0.538437E-02  -0.404752E+02
   137   0.365894E+04   0.105299E+01   0.546854E-02  -0.407873E+02
   138   0.369068E+04   0.105412E+01   0.555353E-02  -0.410818E+02
   139   0.372219E+04   0.105490E+01   0.563936E-02  -0.413577E+02
   140   0.375378E+04   0.105512E+01   0.572603E-02  -0.416160E+02
   141   0.378514E+04   0.105483E+01   0.581355E-02  -0.418545E+02
   142   0.381652E+04   0.105412E+01   0.590192E-02  -0.420739E+02
   143   0.384782E+04   0.105299E+01   0.599115E-02  -0.422744E+02
   144   0.387891E+04   0.105136E+01   0.608126E-02  -0.424552E+02
   145   0.390986E+04   0.104938E+01   0.617224E-02  -0.426155E+02
   146   0.394089E+04   0.104683E+01   0.626410E-02  -0.427556E+02
   147   0.397157E+04   0.104393E+01   0.635685E-02  -0.428739E+02
   148   0.400211E+04   0.104053E+01   0.645049E-02  -0.429720E+02
   149   0.403258E+04   0.103671E+01   0.654503E-02  -0.430484E+02
   150   0.406278E+04   0.103253E+01   0.664048E-02  -0.431010E+02
   151   0.409285E+04   0.102794E+01   0.673685E-02  -0.431328E+02
   152   0.412264E+04   0.102284E+01   0.683412E-02  -0.431423E+02
   153   0.415229E+04   0.101740E+01   0.693232E-02  -0.431273E+02
   154   0.418174E+04   0.101160E+01   0.703145E-02  -0.430899E+02
   155   0.421099E+04   0.100545E+01   0.713150E-02  -0.430295E+02
   156   0.423987E+04   0.998943E+00   0.723250E-02  -0.429461E+02
   157   0.426870E+04   0.992081E+00   0.733442E-02  -0.428381E+02
   158   0.429724E+04   0.984936E+00   0.743729E-02  -0.427063E+02
   159   0.432550E+04   0.977360E+00   0.754110E-02  -0.425507E+02
   160   0.435355E+04   0.969499E+00   0.764586E-02  -0.423697E+02
   161   0.438139E+04   0.961426E+00   0.775157E-02  -0.421650E+02
   162   0.440895E+04   0.952993E+00   0.785822E-02  -0.419364E+02
   163   0.443636E+04   0.944271E+00   0.796582E-02  -0.416825E+02
   164   0.446335E+04   0.935336E+00   0.807438E-02  -0.414048E+02
   165   0.449019E+04   0.926110E+00   0.818388E-02  -0.411010E+02
   166   0.451675E+04   0.916742E+00   0.829433E-02  -0.407726E+02
   167   0.454310E+04   0.907007E+00   0.840574E-02  -0.404204E+02
   168   0.456901E+04   0.897276E+00   0.851808E-02  -0.400421E+02
   169   0.459463E+04   0.887251E+00   0.863138E-02  -0.396378E+02
   170   0.461996E+04   0.877153E+00   0.874561E-02  -0.392088E+02
   171   0.464485E+04   0.866982E+00   0.886079E-02  -0.387530E+02
   172   0.466938E+04   0.856661E+00   0.897690E-02  -0.382719E+02
   173   0.469347E+04   0.846190E+00   0.909395E-02  -0.377653E+02
   174   0.471727E+04   0.835865E+00   0.921192E-02  -0.372335E+02
   175   0.474071E+04   0.825388E+00   0.933082E-02  -0.366755E+02
   176   0.476363E+04   0.814979E+00   0.945063E-02  -0.360914E+02
   177   0.478618E+04   0.804564E+00   0.957136E-02  -0.354828E+02
   178   0.480830E+04   0.794362E+00   0.969300E-02  -0.348480E+02
   179   0.482998E+04   0.784074E+00   0.981554E-02  -0.341870E+02
   180   0.485137E+04   0.773922E+00   0.993898E-02  -0.335015E+02
   181   0.487226E+04   0.763902E+00   0.100633E-01  -0.327914E+02
   182   0.489271E+04   0.754088E+00   0.101885E-01  -0.320551E+02
   183   0.491265E+04   0.744403E+00   0.103146E-01  -0.312943E+02
   184   0.493223E+04   0.734918E+00   0.104415E-01  -0.305080E+02
   185   0.495139E+04   0.725781E+00   0.105693E-01  -0.296987E+02
   186   0.496974E+04   0.716848E+00   0.106980E-01  -0.288632E+02
   187   0.498796E+04   0.708258E+00   0.108275E-01  -0.280031E+02
   188   0.500568E+04   0.699994E+00   0.109578E-01  -0.271199E+02
   189   0.502283E+04   0.692092E+00   0.110890E-01  -0.262121E+02
   190   0.503985E+04   0.684600E+00   0.112209E-01  -0.252818E+02
   191   0.505599E+04   0.677539E+00   0.113537E-01  -0.243263E+02
   192   0.507179E+04   0.670929E+00   0.114873E-01  -0.233475E+02
   193   0.508702E+04   0.664813E+00   0.116217E-01  -0.223472E+02
   194   0.510190E+04   0.659217E+00   0.117568E-01  -0.213230E+02
   195   0.511621E+04   0.654178E+00   0.118927E-01  -0.202771E+02
   196   0.512996E+04   0.649729E+00   0.120294E-01  -0.192088E+02
   197   0.514329E+04   0.645913E+00   0.121668E-01  -0.181196E+02
   198   0.515612E+04   0.642751E+00   0.123049E-01  -0.170088E+02
