#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    20   0.861320E+03   0.140714E+01   0.155196E-02   0.140714E+01   0.652223E-02  -0.276311E-05   0.155196E-02  -0.276311E-05   0.133458E-06
    21   0.873444E+03   0.145137E+01   0.150619E-02   0.145137E+01   0.698324E-02  -0.268111E-05   0.150619E-02  -0.268111E-05   0.134819E-06
    22   0.886067E+03   0.149053E+01   0.146174E-02   0.149053E+01   0.755074E-02  -0.223758E-05   0.146174E-02  -0.223758E-05   0.136034E-06
    23   0.899003E+03   0.152631E+01   0.141902E-02   0.152631E+01   0.831598E-02  -0.161080E-05   0.141902E-02  -0.161080E-05   0.137111E-06
    24   0.912313E+03   0.156014E+01   0.137840E-02   0.156014E+01   0.932295E-02  -0.100646E-05   0.137840E-02  -0.100646E-05   0.138058E-06
    25   0.925943E+03   0.159515E+01   0.133982E-02   0.159515E+01   0.106045E-01  -0.552742E-06   0.133982E-02  -0.552742E-06   0.138885E-06
    26   0.939709E+03   0.163521E+01   0.130304E-02   0.163521E+01   0.121420E-01  -0.322697E-06   0.130304E-02  -0.322697E-06   0.139605E-06
    27   0.953844E+03   0.167822E+01   0.126782E-02   0.167822E+01   0.138854E-01  -0.246151E-06   0.126782E-02  -0.246151E-06   0.140226E-06
    28   0.968200E+03   0.172213E+01   0.123398E-02   0.172213E+01   0.158122E-01  -0.239645E-06   0.123398E-02  -0.239645E-06   0.140755E-06
    29   0.982836E+03   0.176599E+01   0.120184E-02   0.176599E+01   0.179257E-01  -0.309754E-06   0.120184E-02  -0.309754E-06   0.141194E-06
    30   0.997667E+03   0.180741E+01   0.117164E-02   0.180741E+01   0.202390E-01  -0.478910E-06   0.117164E-02  -0.478910E-06   0.141541E-06
    31   0.101257E+04   0.184349E+01   0.114294E-02   0.184349E+01   0.227399E-01  -0.742952E-06   0.114294E-02  -0.742952E-06   0.141810E-06
    32   0.102779E+04   0.187120E+01   0.111520E-02   0.187120E+01   0.254048E-01  -0.107167E-05   0.111520E-02  -0.107167E-05   0.142011E-06
    33   0.104334E+04   0.188771E+01   0.108818E-02   0.188771E+01   0.282396E-01  -0.135722E-05   0.108818E-02  -0.135722E-05   0.142150E-06
    34   0.105905E+04   0.189193E+01   0.106174E-02   0.189193E+01   0.312653E-01  -0.149376E-05   0.106174E-02  -0.149376E-05   0.142227E-06
    35   0.107490E+04   0.188659E+01   0.103595E-02   0.188659E+01   0.344864E-01  -0.146086E-05   0.103595E-02  -0.146086E-05   0.142249E-06
