#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.207514E+00   0.105931E+07   0.996015E+06   0.577656E+00  -0.762439E+00   0.269790E+05   0.104384E+07   0.104868E+07   0.104384E+07  -0.235609E-01   0.505888E+06   0.505824E+06   0.102821E+00
   0.212708E+00   0.101696E+07   0.955876E+06   0.527757E+00  -0.696620E+00   0.248904E+05   0.100205E+07   0.100670E+07   0.100205E+07  -0.226177E-01   0.485636E+06   0.485572E+06   0.100672E+00
   0.217903E+00   0.978129E+06   0.919153E+06   0.483658E+00  -0.638445E+00   0.230252E+05   0.963753E+06   0.968227E+06   0.963753E+06  -0.217532E-01   0.467076E+06   0.467012E+06   0.973538E-01
   0.223097E+00   0.943764E+06   0.886768E+06   0.445170E+00  -0.587660E+00   0.213839E+05   0.929874E+06   0.934194E+06   0.929874E+06  -0.209885E-01   0.450658E+06   0.450596E+06   0.926271E-01
   0.228292E+00   0.914024E+06   0.858870E+06   0.411742E+00  -0.543545E+00   0.199493E+05   0.900576E+06   0.904763E+06   0.900576E+06  -0.203272E-01   0.436459E+06   0.436400E+06   0.867420E-01
   0.233486E+00   0.888222E+06   0.834777E+06   0.382522E+00  -0.504978E+00   0.186875E+05   0.875175E+06   0.879248E+06   0.875175E+06  -0.197539E-01   0.424150E+06   0.424094E+06   0.802634E-01
   0.238681E+00   0.865139E+06   0.813287E+06   0.356554E+00  -0.470700E+00   0.175579E+05   0.852463E+06   0.856433E+06   0.852463E+06  -0.192412E-01   0.413143E+06   0.413090E+06   0.738654E-01
   0.243875E+00   0.843452E+06   0.793096E+06   0.332978E+00  -0.439579E+00   0.165229E+05   0.831123E+06   0.834997E+06   0.831123E+06  -0.187596E-01   0.402801E+06   0.402751E+06   0.681429E-01
   0.249070E+00   0.822017E+06   0.773082E+06   0.311129E+00  -0.410739E+00   0.155529E+05   0.810023E+06   0.813800E+06   0.810023E+06  -0.182833E-01   0.392575E+06   0.392528E+06   0.634764E-01
   0.254264E+00   0.800067E+06   0.752501E+06   0.290575E+00  -0.383612E+00   0.146290E+05   0.788401E+06   0.792080E+06   0.788401E+06  -0.177952E-01   0.382097E+06   0.382051E+06   0.599761E-01
   0.259459E+00   0.777366E+06   0.731130E+06   0.271133E+00  -0.357954E+00   0.137442E+05   0.766026E+06   0.769603E+06   0.766026E+06  -0.172902E-01   0.371254E+06   0.371209E+06   0.575040E-01
   0.264653E+00   0.754198E+06   0.709257E+06   0.252818E+00  -0.333784E+00   0.129008E+05   0.743180E+06   0.746652E+06   0.743180E+06  -0.167746E-01   0.360182E+06   0.360138E+06   0.557524E-01
   0.269848E+00   0.731154E+06   0.687469E+06   0.235736E+00  -0.311242E+00   0.121063E+05   0.720451E+06   0.723819E+06   0.720451E+06  -0.162615E-01   0.349167E+06   0.349123E+06   0.543458E-01
   0.275042E+00   0.708887E+06   0.666415E+06   0.219994E+00  -0.290467E+00   0.113678E+05   0.698488E+06   0.701756E+06   0.698488E+06  -0.157658E-01   0.338524E+06   0.338480E+06   0.529396E-01
   0.280237E+00   0.687958E+06   0.646652E+06   0.205649E+00  -0.271535E+00   0.106901E+05   0.677850E+06   0.681022E+06   0.677850E+06  -0.153000E-01   0.328522E+06   0.328479E+06   0.512936E-01
   0.285432E+00   0.668739E+06   0.628544E+06   0.192689E+00  -0.254428E+00   0.100742E+05   0.658905E+06   0.661990E+06   0.658905E+06  -0.148723E-01   0.319340E+06   0.319298E+06   0.493071E-01
   0.290626E+00   0.651331E+06   0.612189E+06   0.181023E+00  -0.239028E+00   0.951698E+04   0.641753E+06   0.644759E+06   0.641753E+06  -0.144852E-01   0.311028E+06   0.310987E+06   0.470129E-01
   0.295821E+00   0.635548E+06   0.597400E+06   0.170489E+00  -0.225120E+00   0.901142E+04   0.626208E+06   0.629143E+06   0.626208E+06  -0.141343E-01   0.303494E+06   0.303455E+06   0.445412E-01
   0.301015E+00   0.620994E+06   0.583788E+06   0.160888E+00  -0.212443E+00   0.854815E+04   0.611878E+06   0.614747E+06   0.611878E+06  -0.138109E-01   0.296549E+06   0.296511E+06   0.420671E-01
   0.306210E+00   0.607202E+06   0.570893E+06   0.152025E+00  -0.200742E+00   0.811793E+04   0.598299E+06   0.601106E+06   0.598299E+06  -0.135044E-01   0.289969E+06   0.289932E+06   0.397589E-01
   0.311404E+00   0.593750E+06   0.558301E+06   0.143741E+00  -0.189804E+00   0.771295E+04   0.585052E+06   0.587798E+06   0.585052E+06  -0.132054E-01   0.283549E+06   0.283513E+06   0.377370E-01
   0.316599E+00   0.580336E+06   0.545718E+06   0.135921E+00  -0.179481E+00   0.732777E+04   0.571839E+06   0.574523E+06   0.571839E+06  -0.129072E-01   0.277145E+06   0.277111E+06   0.360527E-01
   0.321793E+00   0.566826E+06   0.533015E+06   0.128505E+00  -0.169689E+00   0.695963E+04   0.558527E+06   0.561149E+06   0.558527E+06  -0.126067E-01   0.270693E+06   0.270660E+06   0.346883E-01
   0.326988E+00   0.553260E+06   0.520235E+06   0.121474E+00  -0.160407E+00   0.660799E+04   0.545154E+06   0.547715E+06   0.545154E+06  -0.123049E-01   0.264213E+06   0.264180E+06   0.335726E-01
   0.332182E+00   0.539807E+06   0.507546E+06   0.114839E+00  -0.151649E+00   0.627396E+04   0.531891E+06   0.534390E+06   0.531891E+06  -0.120055E-01   0.257785E+06   0.257752E+06   0.326067E-01
   0.337377E+00   0.526692E+06   0.495174E+06   0.108623E+00  -0.143443E+00   0.595909E+04   0.518961E+06   0.521400E+06   0.518961E+06  -0.117136E-01   0.251518E+06   0.251486E+06   0.316913E-01
   0.342571E+00   0.514129E+06   0.483328E+06   0.102838E+00  -0.135806E+00   0.566458E+04   0.506576E+06   0.508958E+06   0.506576E+06  -0.114341E-01   0.245516E+06   0.245485E+06   0.307495E-01
   0.347766E+00   0.502266E+06   0.472156E+06   0.974850E-01  -0.128738E+00   0.539081E+04   0.494883E+06   0.497211E+06   0.494883E+06  -0.111702E-01   0.239849E+06   0.239818E+06   0.297394E-01
   0.352960E+00   0.491155E+06   0.461708E+06   0.925425E-01  -0.122213E+00   0.513699E+04   0.483934E+06   0.486211E+06   0.483934E+06  -0.109230E-01   0.234543E+06   0.234513E+06   0.286569E-01
   0.358155E+00   0.480753E+06   0.451941E+06   0.879740E-01  -0.116180E+00   0.490148E+04   0.473686E+06   0.475915E+06   0.473686E+06  -0.106917E-01   0.229576E+06   0.229547E+06   0.275281E-01
   0.363349E+00   0.470944E+06   0.442741E+06   0.837329E-01  -0.110580E+00   0.468197E+04   0.464024E+06   0.466208E+06   0.464024E+06  -0.104736E-01   0.224894E+06   0.224865E+06   0.263969E-01
   0.368544E+00   0.461576E+06   0.433959E+06   0.797708E-01  -0.105348E+00   0.447602E+04   0.454798E+06   0.456939E+06   0.454798E+06  -0.102654E-01   0.220422E+06   0.220394E+06   0.253109E-01
   0.373738E+00   0.452499E+06   0.425447E+06   0.760438E-01  -0.100427E+00   0.428143E+04   0.445857E+06   0.447957E+06   0.445857E+06  -0.100636E-01   0.216089E+06   0.216062E+06   0.243086E-01
   0.378933E+00   0.443592E+06   0.417085E+06   0.725172E-01  -0.957697E-01   0.409639E+04   0.437082E+06   0.439141E+06   0.437082E+06  -0.986552E-02   0.211836E+06   0.211810E+06   0.234114E-01
   0.384128E+00   0.434775E+06   0.408799E+06   0.691663E-01  -0.913451E-01   0.391971E+04   0.428395E+06   0.430413E+06   0.428395E+06  -0.966944E-02   0.207626E+06   0.207600E+06   0.226209E-01
   0.389322E+00   0.426034E+06   0.400576E+06   0.659788E-01  -0.871363E-01   0.375082E+04   0.419782E+06   0.421760E+06   0.419782E+06  -0.947503E-02   0.203452E+06   0.203426E+06   0.219223E-01
   0.394517E+00   0.417409E+06   0.392455E+06   0.629512E-01  -0.831387E-01   0.358967E+04   0.411281E+06   0.413219E+06   0.411281E+06  -0.928315E-02   0.199332E+06   0.199307E+06   0.212902E-01
   0.399711E+00   0.408974E+06   0.384510E+06   0.600856E-01  -0.793549E-01   0.343649E+04   0.402967E+06   0.404866E+06   0.402967E+06  -0.909549E-02   0.195302E+06   0.195278E+06   0.206962E-01
   0.404906E+00   0.400801E+06   0.376813E+06   0.573830E-01  -0.757863E-01   0.329147E+04   0.394911E+06   0.396773E+06   0.394911E+06  -0.891366E-02   0.191398E+06   0.191374E+06   0.201155E-01
   0.410100E+00   0.392938E+06   0.369411E+06   0.548405E-01  -0.724291E-01   0.315456E+04   0.387161E+06   0.388987E+06   0.387161E+06  -0.873874E-02   0.187642E+06   0.187618E+06   0.195312E-01
   0.415295E+00   0.385407E+06   0.362329E+06   0.524521E-01  -0.692751E-01   0.302552E+04   0.379741E+06   0.381532E+06   0.379741E+06  -0.857126E-02   0.184046E+06   0.184023E+06   0.189371E-01
   0.420489E+00   0.378214E+06   0.355567E+06   0.502090E-01  -0.663130E-01   0.290394E+04   0.372653E+06   0.374411E+06   0.372653E+06  -0.841127E-02   0.180611E+06   0.180588E+06   0.183366E-01
   0.425684E+00   0.371333E+06   0.349105E+06   0.480999E-01  -0.635277E-01   0.278928E+04   0.365875E+06   0.367601E+06   0.365875E+06  -0.825827E-02   0.177326E+06   0.177303E+06   0.177398E-01
   0.430878E+00   0.364714E+06   0.342890E+06   0.461104E-01  -0.609003E-01   0.268077E+04   0.359354E+06   0.361050E+06   0.359354E+06  -0.811110E-02   0.174166E+06   0.174143E+06   0.171593E-01
   0.436073E+00   0.358294E+06   0.336862E+06   0.442260E-01  -0.584117E-01   0.257767E+04   0.353029E+06   0.354696E+06   0.353029E+06  -0.796834E-02   0.171100E+06   0.171079E+06   0.166066E-01
   0.441267E+00   0.352025E+06   0.330974E+06   0.424351E-01  -0.560466E-01   0.247934E+04   0.346853E+06   0.348490E+06   0.346853E+06  -0.782892E-02   0.168107E+06   0.168085E+06   0.160897E-01
   0.446462E+00   0.345879E+06   0.325198E+06   0.407296E-01  -0.537944E-01   0.238539E+04   0.340798E+06   0.342407E+06   0.340798E+06  -0.769225E-02   0.165172E+06   0.165151E+06   0.156114E-01
   0.451656E+00   0.339844E+06   0.319523E+06   0.391035E-01  -0.516470E-01   0.229550E+04   0.334850E+06   0.336432E+06   0.334850E+06  -0.755802E-02   0.162290E+06   0.162269E+06   0.151697E-01
   0.456851E+00   0.333914E+06   0.313945E+06   0.375523E-01  -0.495984E-01   0.220947E+04   0.329007E+06   0.330561E+06   0.329007E+06  -0.742612E-02   0.159458E+06   0.159438E+06   0.147581E-01
   0.462045E+00   0.328101E+06   0.308476E+06   0.360733E-01  -0.476453E-01   0.212719E+04   0.323278E+06   0.324805E+06   0.323278E+06  -0.729682E-02   0.156681E+06   0.156661E+06   0.143686E-01
   0.467240E+00   0.322428E+06   0.303138E+06   0.346656E-01  -0.457863E-01   0.204863E+04   0.317688E+06   0.319189E+06   0.317688E+06  -0.717064E-02   0.153972E+06   0.153952E+06   0.139934E-01
   0.472435E+00   0.316921E+06   0.297956E+06   0.333281E-01  -0.440200E-01   0.197379E+04   0.312261E+06   0.313737E+06   0.312261E+06  -0.704815E-02   0.151342E+06   0.151323E+06   0.136265E-01
   0.477629E+00   0.311590E+06   0.292943E+06   0.320585E-01  -0.423433E-01   0.190255E+04   0.307009E+06   0.308459E+06   0.307009E+06  -0.692959E-02   0.148796E+06   0.148777E+06   0.132643E-01
   0.482824E+00   0.306434E+06   0.288095E+06   0.308532E-01  -0.407515E-01   0.183475E+04   0.301928E+06   0.303355E+06   0.301928E+06  -0.681492E-02   0.146334E+06   0.146315E+06   0.129060E-01
   0.488018E+00   0.301443E+06   0.283404E+06   0.297080E-01  -0.392390E-01   0.177016E+04   0.297011E+06   0.298414E+06   0.297011E+06  -0.670392E-02   0.143951E+06   0.143932E+06   0.125531E-01
   0.493213E+00   0.296605E+06   0.278858E+06   0.286187E-01  -0.378004E-01   0.170858E+04   0.292244E+06   0.293625E+06   0.292244E+06  -0.659633E-02   0.141640E+06   0.141622E+06   0.122088E-01
   0.498407E+00   0.291905E+06   0.274441E+06   0.275811E-01  -0.364300E-01   0.164977E+04   0.287613E+06   0.288973E+06   0.287613E+06  -0.649181E-02   0.139396E+06   0.139378E+06   0.118762E-01
   0.503602E+00   0.287323E+06   0.270136E+06   0.265910E-01  -0.351224E-01   0.159352E+04   0.283099E+06   0.284438E+06   0.283099E+06  -0.638992E-02   0.137208E+06   0.137191E+06   0.115580E-01
   0.508796E+00   0.282842E+06   0.265924E+06   0.256445E-01  -0.338723E-01   0.153961E+04   0.278683E+06   0.280001E+06   0.278683E+06  -0.629025E-02   0.135068E+06   0.135051E+06   0.112554E-01
   0.513991E+00   0.278448E+06   0.261794E+06   0.247384E-01  -0.326756E-01   0.148787E+04   0.274355E+06   0.275652E+06   0.274355E+06  -0.619255E-02   0.132970E+06   0.132953E+06   0.109685E-01
   0.519185E+00   0.274142E+06   0.257745E+06   0.238708E-01  -0.315298E-01   0.143822E+04   0.270111E+06   0.271389E+06   0.270111E+06  -0.609676E-02   0.130914E+06   0.130897E+06   0.106959E-01
   0.524380E+00   0.269925E+06   0.253779E+06   0.230402E-01  -0.304328E-01   0.139058E+04   0.265956E+06   0.267214E+06   0.265956E+06  -0.600299E-02   0.128900E+06   0.128883E+06   0.104355E-01
   0.529574E+00   0.265802E+06   0.249901E+06   0.222453E-01  -0.293830E-01   0.134488E+04   0.261894E+06   0.263132E+06   0.261894E+06  -0.591128E-02   0.126931E+06   0.126915E+06   0.101849E-01
   0.534769E+00   0.261775E+06   0.246113E+06   0.214846E-01  -0.283783E-01   0.130106E+04   0.257925E+06   0.259145E+06   0.257925E+06  -0.582170E-02   0.125007E+06   0.124991E+06   0.994194E-02
   0.539963E+00   0.257846E+06   0.242419E+06   0.207569E-01  -0.274172E-01   0.125905E+04   0.254054E+06   0.255256E+06   0.254054E+06  -0.573433E-02   0.123131E+06   0.123115E+06   0.970493E-02
   0.545158E+00   0.254020E+06   0.238822E+06   0.200610E-01  -0.264981E-01   0.121881E+04   0.250284E+06   0.251468E+06   0.250284E+06  -0.564924E-02   0.121304E+06   0.121289E+06   0.947317E-02
   0.550353E+00   0.250297E+06   0.235321E+06   0.193955E-01  -0.256192E-01   0.118025E+04   0.246615E+06   0.247782E+06   0.246615E+06  -0.556643E-02   0.119526E+06   0.119511E+06   0.924658E-02
   0.555547E+00   0.246669E+06   0.231911E+06   0.187586E-01  -0.247780E-01   0.114327E+04   0.243041E+06   0.244191E+06   0.243041E+06  -0.548576E-02   0.117794E+06   0.117779E+06   0.902560E-02
   0.560742E+00   0.243129E+06   0.228583E+06   0.181484E-01  -0.239720E-01   0.110778E+04   0.239553E+06   0.240687E+06   0.239553E+06  -0.540702E-02   0.116103E+06   0.116088E+06   0.881087E-02
   0.578426E+00   0.231657E+06   0.217799E+06   0.162508E-01  -0.214657E-01   0.996960E+03   0.228249E+06   0.229330E+06   0.228249E+06  -0.515189E-02   0.110625E+06   0.110611E+06   0.813499E-02
   0.613471E+00   0.211202E+06   0.198567E+06   0.131711E-01  -0.173986E-01   0.815407E+03   0.208095E+06   0.209081E+06   0.208095E+06  -0.469697E-02   0.100857E+06   0.100844E+06   0.700809E-02
   0.650640E+00   0.192508E+06   0.180991E+06   0.106727E-01  -0.140985E-01   0.666575E+03   0.189675E+06   0.190574E+06   0.189675E+06  -0.428121E-02   0.919293E+05   0.919175E+05   0.602796E-02
   0.908042E+00   0.112859E+06   0.106108E+06   0.321226E-02  -0.424371E-02   0.208719E+03   0.111198E+06   0.111726E+06   0.111198E+06  -0.250988E-02   0.538942E+05   0.538872E+05   0.256326E-02
   0.126727E+01   0.653374E+05   0.614285E+05   0.954750E-03  -0.126139E-02   0.637070E+02   0.643753E+05   0.646811E+05   0.643753E+05  -0.145303E-02   0.312008E+05   0.311966E+05   0.108888E-02
   0.176862E+01   0.374184E+05   0.351796E+05   0.280717E-03  -0.370891E-03   0.190721E+02   0.368672E+05   0.370425E+05   0.368672E+05  -0.832139E-03   0.178685E+05   0.178660E+05   0.467513E-03
   0.246831E+01   0.212312E+05   0.199607E+05   0.817734E-04  -0.108046E-03   0.560370E+01   0.209185E+05   0.210179E+05   0.209185E+05  -0.472156E-03   0.101386E+05   0.101371E+05   0.206520E-03
