#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.180348E-03   0.206038E+08   0.194700E+08   0.220478E+08   0.219398E+08   0.194606E+08   0.204089E+08   0.204134E+08   0.204148E+08  -0.461027E+00   0.987601E+07   0.987596E+07   0.977386E+02
   0.199129E-03   0.206021E+08   0.194683E+08   0.212651E+08   0.211371E+08   0.194563E+08   0.204072E+08   0.204117E+08   0.204129E+08  -0.460979E+00   0.987517E+07   0.987511E+07   0.106928E+03
   0.219867E-03   0.206000E+08   0.194663E+08   0.203457E+08   0.201950E+08   0.194512E+08   0.204051E+08   0.204097E+08   0.204105E+08  -0.460922E+00   0.987415E+07   0.987407E+07   0.116751E+03
   0.242764E-03   0.205975E+08   0.194638E+08   0.192750E+08   0.190990E+08   0.194450E+08   0.204026E+08   0.204072E+08   0.204077E+08  -0.460852E+00   0.987291E+07   0.987282E+07   0.127175E+03
   0.268045E-03   0.205945E+08   0.194609E+08   0.180407E+08   0.178372E+08   0.194375E+08   0.203995E+08   0.204041E+08   0.204043E+08  -0.460768E+00   0.987141E+07   0.987130E+07   0.138136E+03
   0.295960E-03   0.205908E+08   0.194573E+08   0.166362E+08   0.164036E+08   0.194283E+08   0.203958E+08   0.204004E+08   0.204003E+08  -0.460668E+00   0.986960E+07   0.986946E+07   0.149530E+03
   0.326781E-03   0.205863E+08   0.194529E+08   0.150631E+08   0.148012E+08   0.194172E+08   0.203914E+08   0.203960E+08   0.203954E+08  -0.460547E+00   0.986740E+07   0.986724E+07   0.161204E+03
   0.360813E-03   0.205809E+08   0.194477E+08   0.133357E+08   0.130463E+08   0.194037E+08   0.203860E+08   0.203907E+08   0.203895E+08  -0.460403E+00   0.986476E+07   0.986457E+07   0.172949E+03
   0.398388E-03   0.205745E+08   0.194414E+08   0.114856E+08   0.111730E+08   0.193874E+08   0.203795E+08   0.203842E+08   0.203826E+08  -0.460233E+00   0.986157E+07   0.986135E+07   0.184490E+03
   0.439877E-03   0.205667E+08   0.194339E+08   0.956507E+07   0.923710E+07   0.193677E+08   0.203717E+08   0.203765E+08   0.203743E+08  -0.460030E+00   0.985775E+07   0.985749E+07   0.195483E+03
