#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.121311E+04   0.146099E+01   0.827629E-03   0.146099E+01   0.699118E-01  -0.207649E-06   0.827629E-03  -0.207649E-06   0.139396E-06
    44   0.123043E+04   0.136731E+01   0.810753E-03   0.136731E+01   0.754453E-01  -0.122771E-06   0.810753E-03  -0.122771E-06   0.139023E-06
    45   0.124808E+04   0.126003E+01   0.794540E-03   0.126003E+01   0.812395E-01  -0.119369E-06   0.794540E-03  -0.119369E-06   0.138622E-06
    46   0.126600E+04   0.113594E+01   0.779061E-03   0.113594E+01   0.872941E-01  -0.217793E-06   0.779061E-03  -0.217793E-06   0.138196E-06
    47   0.128403E+04   0.996669E+00   0.764205E-03   0.996669E+00   0.936067E-01  -0.388537E-06   0.764205E-03  -0.388537E-06   0.137746E-06
    48   0.130212E+04   0.847741E+00   0.749820E-03   0.847741E+00   0.100181E+00  -0.589632E-06   0.749820E-03  -0.589632E-06   0.137274E-06
    49   0.132035E+04   0.694075E+00   0.735751E-03   0.694075E+00   0.107000E+00  -0.779109E-06   0.735751E-03  -0.779109E-06   0.136782E-06
    50   0.133895E+04   0.533810E+00   0.721844E-03   0.533810E+00   0.114037E+00  -0.914998E-06   0.721844E-03  -0.914998E-06   0.136272E-06
    51   0.135771E+04   0.363288E+00   0.707999E-03   0.363288E+00   0.121264E+00  -0.966735E-06   0.707999E-03  -0.966735E-06   0.135744E-06
    52   0.137685E+04   0.177291E+00   0.694339E-03   0.177291E+00   0.128767E+00  -0.949368E-06   0.694339E-03  -0.949368E-06   0.135201E-06
    53   0.139598E+04  -0.279392E-01   0.681040E-03  -0.279392E-01   0.136695E+00  -0.889350E-06   0.681040E-03  -0.889350E-06   0.134642E-06
    54   0.141503E+04  -0.248191E+00   0.668277E-03  -0.248191E+00   0.145042E+00  -0.813135E-06   0.668277E-03  -0.813135E-06   0.134070E-06
    55   0.143420E+04  -0.479140E+00   0.656228E-03  -0.479140E+00   0.153788E+00  -0.747174E-06   0.656228E-03  -0.747174E-06   0.133485E-06
    56   0.145373E+04  -0.722526E+00   0.645008E-03  -0.722526E+00   0.162788E+00  -0.711287E-06   0.645008E-03  -0.711287E-06   0.132889E-06
    57   0.147353E+04  -0.978060E+00   0.634490E-03  -0.978060E+00   0.171937E+00  -0.698761E-06   0.634490E-03  -0.698761E-06   0.132281E-06
    58   0.149361E+04  -0.124617E+01   0.624487E-03  -0.124617E+01   0.181241E+00  -0.696247E-06   0.624487E-03  -0.696247E-06   0.131662E-06
    59   0.151383E+04  -0.152732E+01   0.614813E-03  -0.152732E+01   0.190740E+00  -0.690397E-06   0.614813E-03  -0.690397E-06   0.131033E-06
    60   0.153421E+04  -0.182053E+01   0.605281E-03  -0.182053E+01   0.200486E+00  -0.667865E-06   0.605281E-03  -0.667865E-06   0.130395E-06
    61   0.155504E+04  -0.212476E+01   0.595740E-03  -0.212476E+01   0.210572E+00  -0.619865E-06   0.595740E-03  -0.619865E-06   0.129748E-06
    62   0.157572E+04  -0.244114E+01   0.586193E-03  -0.244114E+01   0.220982E+00  -0.555862E-06   0.586193E-03  -0.555862E-06   0.129094E-06
    63   0.159650E+04  -0.277097E+01   0.576678E-03  -0.277097E+01   0.231676E+00  -0.489885E-06   0.576678E-03  -0.489885E-06   0.128432E-06
    64   0.161767E+04  -0.311576E+01   0.567234E-03  -0.311576E+01   0.242663E+00  -0.435963E-06   0.567234E-03  -0.435963E-06   0.127765E-06
    65   0.163887E+04  -0.347645E+01   0.557902E-03  -0.347645E+01   0.253915E+00  -0.408122E-06   0.557902E-03  -0.408122E-06   0.127093E-06
    66   0.166038E+04  -0.385138E+01   0.548721E-03  -0.385138E+01   0.265363E+00  -0.416744E-06   0.548721E-03  -0.416744E-06   0.126417E-06
    67   0.168204E+04  -0.423763E+01   0.539741E-03  -0.423763E+01   0.277011E+00  -0.457621E-06   0.539741E-03  -0.457621E-06   0.125737E-06
    68   0.170413E+04  -0.463326E+01   0.531013E-03  -0.463326E+01   0.288902E+00  -0.522897E-06   0.531013E-03  -0.522897E-06   0.125055E-06
    69   0.172639E+04  -0.503628E+01   0.522589E-03  -0.503628E+01   0.300997E+00  -0.604717E-06   0.522589E-03  -0.604717E-06   0.124371E-06
    70   0.174895E+04  -0.544810E+01   0.514518E-03  -0.544810E+01   0.313338E+00  -0.695224E-06   0.514518E-03  -0.695224E-06   0.123685E-06
    71   0.177165E+04  -0.587091E+01   0.506836E-03  -0.587091E+01   0.325917E+00  -0.786031E-06   0.506836E-03  -0.786031E-06   0.122997E-06
    72   0.179451E+04  -0.630612E+01   0.499509E-03  -0.630612E+01   0.338706E+00  -0.866622E-06   0.499509E-03  -0.866622E-06   0.122308E-06
    73   0.181752E+04  -0.675448E+01   0.492486E-03  -0.675448E+01   0.351670E+00  -0.925947E-06   0.492486E-03  -0.925947E-06   0.121617E-06
    74   0.184071E+04  -0.721519E+01   0.485717E-03  -0.721519E+01   0.364796E+00  -0.952958E-06   0.485717E-03  -0.952958E-06   0.120926E-06
    75   0.186421E+04  -0.768692E+01   0.479150E-03  -0.768692E+01   0.378093E+00  -0.936607E-06   0.479150E-03  -0.936607E-06   0.120232E-06
    76   0.188797E+04  -0.816911E+01   0.472742E-03  -0.816911E+01   0.391562E+00  -0.870621E-06   0.472742E-03  -0.870621E-06   0.119538E-06
    77   0.191204E+04  -0.866163E+01   0.466469E-03  -0.866163E+01   0.405193E+00  -0.767835E-06   0.466469E-03  -0.767835E-06   0.118843E-06
    78   0.193647E+04  -0.916587E+01   0.460314E-03  -0.916587E+01   0.419011E+00  -0.645858E-06   0.460314E-03  -0.645858E-06   0.118147E-06
    79   0.196107E+04  -0.967807E+01   0.454259E-03  -0.967807E+01   0.432961E+00  -0.522302E-06   0.454259E-03  -0.522302E-06   0.117451E-06
    80   0.198594E+04  -0.101996E+02   0.448287E-03  -0.101996E+02   0.447046E+00  -0.414776E-06   0.448287E-03  -0.414776E-06   0.116756E-06
    81   0.201100E+04  -0.107310E+02   0.442383E-03  -0.107310E+02   0.461215E+00  -0.338049E-06   0.442383E-03  -0.338049E-06   0.116062E-06
    82   0.203630E+04  -0.112714E+02   0.436539E-03  -0.112714E+02   0.475490E+00  -0.295522E-06   0.436539E-03  -0.295522E-06   0.115368E-06
    83   0.206178E+04  -0.118202E+02   0.430751E-03  -0.118202E+02   0.489845E+00  -0.287755E-06   0.430751E-03  -0.287755E-06   0.114676E-06
    84   0.208753E+04  -0.123756E+02   0.425013E-03  -0.123756E+02   0.504280E+00  -0.315306E-06   0.425013E-03  -0.315306E-06   0.113986E-06
    85   0.211338E+04  -0.129387E+02   0.419320E-03  -0.129387E+02   0.518767E+00  -0.378734E-06   0.419320E-03  -0.378734E-06   0.113298E-06
    86   0.213943E+04  -0.135085E+02   0.413673E-03  -0.135085E+02   0.533321E+00  -0.476491E-06   0.413673E-03  -0.476491E-06   0.112612E-06
    87   0.216589E+04  -0.140841E+02   0.408088E-03  -0.140841E+02   0.547911E+00  -0.598600E-06   0.408088E-03  -0.598600E-06   0.111928E-06
    88   0.219234E+04  -0.146655E+02   0.402588E-03  -0.146655E+02   0.562553E+00  -0.732975E-06   0.402588E-03  -0.732975E-06   0.111246E-06
    89   0.221913E+04  -0.152543E+02   0.397195E-03  -0.152543E+02   0.577231E+00  -0.867530E-06   0.397195E-03  -0.867530E-06   0.110568E-06
