#    L    TT             EE             TE             PP             TP          
     2    0.11105E+04    0.53711E-01    0.33933E+01    0.10263E+07    0.31313E+05
     3    0.10366E+04    0.87266E-01    0.42366E+01    0.15799E+07    0.37204E+05
     4    0.96742E+03    0.97586E-01    0.43471E+01    0.20703E+07    0.39936E+05
     5    0.91405E+03    0.86134E-01    0.40261E+01    0.25026E+07    0.40989E+05
     6    0.87516E+03    0.63354E-01    0.35033E+01    0.28838E+07    0.41113E+05
     7    0.84809E+03    0.40177E-01    0.29232E+01    0.32215E+07    0.40726E+05
     8    0.82980E+03    0.23127E-01    0.23736E+01    0.35218E+07    0.40011E+05
     9    0.81823E+03    0.13577E-01    0.19005E+01    0.37900E+07    0.39059E+05
    10    0.81188E+03    0.96077E-02    0.15293E+01    0.40298E+07    0.37971E+05
    11    0.80926E+03    0.83881E-02    0.12689E+01    0.42459E+07    0.36870E+05
    12    0.81052E+03    0.78575E-02    0.11178E+01    0.44398E+07    0.35821E+05
    13    0.81388E+03    0.70747E-02    0.10536E+01    0.46140E+07    0.34826E+05
    14    0.81841E+03    0.61707E-02    0.10490E+01    0.47712E+07    0.33873E+05
    15    0.82438E+03    0.54462E-02    0.10854E+01    0.49130E+07    0.32933E+05
    16    0.83218E+03    0.51354E-02    0.11474E+01    0.50408E+07    0.31984E+05
    17    0.84174E+03    0.52577E-02    0.12190E+01    0.51563E+07    0.31055E+05
    18    0.85209E+03    0.55864E-02    0.12880E+01    0.52606E+07    0.30175E+05
    19    0.86406E+03    0.59731E-02    0.13485E+01    0.53545E+07    0.29335E+05
    20    0.87598E+03    0.63750E-02    0.13956E+01    0.54386E+07    0.28517E+05
    21    0.88818E+03    0.68261E-02    0.14345E+01    0.55140E+07    0.27719E+05
    22    0.90096E+03    0.74545E-02    0.14711E+01    0.55818E+07    0.26940E+05
    23    0.91411E+03    0.83266E-02    0.15068E+01    0.56423E+07    0.26188E+05
    24    0.92770E+03    0.94512E-02    0.15422E+01    0.56962E+07    0.25471E+05
    25    0.94167E+03    0.10840E-01    0.15799E+01    0.57438E+07    0.24788E+05
    26    0.95581E+03    0.12459E-01    0.16232E+01    0.57859E+07    0.24135E+05
