#    L    TT             EE             BB             TE          
    91    0.22886E+04    0.60925E+00    0.22940E-02   -0.16542E+02
    92    0.23162E+04    0.62393E+00    0.23450E-02   -0.17146E+02
    93    0.23442E+04    0.63859E+00    0.23966E-02   -0.17755E+02
    94    0.23721E+04    0.65318E+00    0.24488E-02   -0.18366E+02
    95    0.24004E+04    0.66771E+00    0.25017E-02   -0.18981E+02
    96    0.24286E+04    0.68215E+00    0.25551E-02   -0.19600E+02
    97    0.24573E+04    0.69650E+00    0.26092E-02   -0.20220E+02
    98    0.24862E+04    0.71075E+00    0.26639E-02   -0.20841E+02
    99    0.25152E+04    0.72487E+00    0.27192E-02   -0.21465E+02
   100    0.25444E+04    0.73885E+00    0.27751E-02   -0.22089E+02
   101    0.25738E+04    0.75275E+00    0.28317E-02   -0.22713E+02
   102    0.26037E+04    0.76642E+00    0.28889E-02   -0.23338E+02
   103    0.26335E+04    0.77995E+00    0.29468E-02   -0.23963E+02
   104    0.26635E+04    0.79332E+00    0.30053E-02   -0.24586E+02
   105    0.26937E+04    0.80648E+00    0.30644E-02   -0.25207E+02
   106    0.27241E+04    0.81948E+00    0.31242E-02   -0.25827E+02
   107    0.27544E+04    0.83219E+00    0.31846E-02   -0.26444E+02
   108    0.27850E+04    0.84468E+00    0.32457E-02   -0.27059E+02
   109    0.28158E+04    0.85688E+00    0.33075E-02   -0.27670E+02
   110    0.28467E+04    0.86877E+00    0.33699E-02   -0.28276E+02
   111    0.28777E+04    0.88045E+00    0.34330E-02   -0.28878E+02
   112    0.29089E+04    0.89184E+00    0.34967E-02   -0.29476E+02
   113    0.29403E+04    0.90293E+00    0.35612E-02   -0.30068E+02
   114    0.29718E+04    0.91366E+00    0.36263E-02   -0.30654E+02
   115    0.30034E+04    0.92417E+00    0.36920E-02   -0.31233E+02
   116    0.30351E+04    0.93424E+00    0.37585E-02   -0.31804E+02
   117    0.30671E+04    0.94394E+00    0.38257E-02   -0.32368E+02
   118    0.30991E+04    0.95343E+00    0.38936E-02   -0.32924E+02
   119    0.31312E+04    0.96255E+00    0.39621E-02   -0.33470E+02
   120    0.31635E+04    0.97116E+00    0.40314E-02   -0.34006E+02
   121    0.31957E+04    0.97956E+00    0.41014E-02   -0.34533E+02
   122    0.32279E+04    0.98744E+00    0.41721E-02   -0.35050E+02
   123    0.32603E+04    0.99489E+00    0.42435E-02   -0.35556E+02
   124    0.32927E+04    0.10020E+01    0.43156E-02   -0.36048E+02
   125    0.33250E+04    0.10086E+01    0.43885E-02   -0.36529E+02
   126    0.33575E+04    0.10149E+01    0.44621E-02   -0.36999E+02
   127    0.33899E+04    0.10207E+01    0.45364E-02   -0.37455E+02
   128    0.34223E+04    0.10261E+01    0.46115E-02   -0.37898E+02
   129    0.34548E+04    0.10310E+01    0.46873E-02   -0.38327E+02
   130    0.34872E+04    0.10354E+01    0.47640E-02   -0.38740E+02
   131    0.35197E+04    0.10395E+01    0.48413E-02   -0.39141E+02
   132    0.35521E+04    0.10430E+01    0.49195E-02   -0.39524E+02
   133    0.35845E+04    0.10461E+01    0.49984E-02   -0.39894E+02
   134    0.36169E+04    0.10488E+01    0.50781E-02   -0.40244E+02
   135    0.36493E+04    0.10510E+01    0.51586E-02   -0.40580E+02
   136    0.36815E+04    0.10526E+01    0.52399E-02   -0.40896E+02
   137    0.37137E+04    0.10539E+01    0.53220E-02   -0.41195E+02
   138    0.37458E+04    0.10546E+01    0.54049E-02   -0.41475E+02
   139    0.37776E+04    0.10550E+01    0.54886E-02   -0.41737E+02
   140    0.38096E+04    0.10548E+01    0.55731E-02   -0.41980E+02
   141    0.38413E+04    0.10541E+01    0.56585E-02   -0.42202E+02
   142    0.38730E+04    0.10530E+01    0.57447E-02   -0.42405E+02
   143    0.39046E+04    0.10514E+01    0.58318E-02   -0.42589E+02
   144    0.39360E+04    0.10494E+01    0.59197E-02   -0.42752E+02
   145    0.39673E+04    0.10470E+01    0.60085E-02   -0.42894E+02
   146    0.39986E+04    0.10440E+01    0.60981E-02   -0.43014E+02
   147    0.40295E+04    0.10407E+01    0.61886E-02   -0.43113E+02
   148    0.40603E+04    0.10368E+01    0.62800E-02   -0.43191E+02
   149    0.40911E+04    0.10326E+01    0.63723E-02   -0.43246E+02
   150    0.41215E+04    0.10280E+01    0.64655E-02   -0.43277E+02
   151    0.41518E+04    0.10230E+01    0.65595E-02   -0.43286E+02
   152    0.41818E+04    0.10175E+01    0.66545E-02   -0.43272E+02
   153    0.42117E+04    0.10117E+01    0.67503E-02   -0.43233E+02
   154    0.42413E+04    0.10055E+01    0.68471E-02   -0.43171E+02
   155    0.42708E+04    0.99891E+00    0.69447E-02   -0.43086E+02
   156    0.42998E+04    0.99202E+00    0.70433E-02   -0.42977E+02
   157    0.43288E+04    0.98478E+00    0.71428E-02   -0.42842E+02
   158    0.43575E+04    0.97727E+00    0.72433E-02   -0.42684E+02
   159    0.43859E+04    0.96934E+00    0.73446E-02   -0.42500E+02
   160    0.44141E+04    0.96113E+00    0.74469E-02   -0.42291E+02
