#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14465E+04    0.14518E+00    0.00000E+00   -0.37489E+00    0.12752E-06    0.77779E-03   -0.74127E-06
    55    0.14665E+04    0.15394E+00    0.00000E+00   -0.61145E+00    0.12692E-06    0.76278E-03   -0.70335E-06
    56    0.14869E+04    0.16294E+00    0.00000E+00   -0.86059E+00    0.12630E-06    0.74871E-03   -0.67486E-06
    57    0.15076E+04    0.17209E+00    0.00000E+00   -0.11221E+01    0.12567E-06    0.73545E-03   -0.65405E-06
    58    0.15285E+04    0.18139E+00    0.00000E+00   -0.13964E+01    0.12504E-06    0.72283E-03   -0.63576E-06
    59    0.15496E+04    0.19088E+00    0.00000E+00   -0.16841E+01    0.12439E-06    0.71067E-03   -0.61482E-06
    60    0.15709E+04    0.20063E+00    0.00000E+00   -0.19842E+01    0.12374E-06    0.69877E-03   -0.58611E-06
    61    0.15927E+04    0.21071E+00    0.00000E+00   -0.22958E+01    0.12308E-06    0.68698E-03   -0.54649E-06
    62    0.16143E+04    0.22113E+00    0.00000E+00   -0.26198E+01    0.12241E-06    0.67530E-03   -0.50092E-06
    63    0.16360E+04    0.23183E+00    0.00000E+00   -0.29574E+01    0.12173E-06    0.66371E-03   -0.45633E-06
    64    0.16581E+04    0.24282E+00    0.00000E+00   -0.33100E+01    0.12105E-06    0.65222E-03   -0.41968E-06
    65    0.16803E+04    0.25408E+00    0.00000E+00   -0.36784E+01    0.12037E-06    0.64086E-03   -0.39788E-06
    66    0.17027E+04    0.26554E+00    0.00000E+00   -0.40608E+01    0.11969E-06    0.62962E-03   -0.39631E-06
    67    0.17254E+04    0.27720E+00    0.00000E+00   -0.44544E+01    0.11900E-06    0.61860E-03   -0.41415E-06
    68    0.17484E+04    0.28909E+00    0.00000E+00   -0.48573E+01    0.11831E-06    0.60786E-03   -0.44904E-06
    69    0.17717E+04    0.30120E+00    0.00000E+00   -0.52677E+01    0.11762E-06    0.59752E-03   -0.49861E-06
    70    0.17952E+04    0.31354E+00    0.00000E+00   -0.56868E+01    0.11693E-06    0.58764E-03   -0.56050E-06
    71    0.18189E+04    0.32612E+00    0.00000E+00   -0.61172E+01    0.11623E-06    0.57829E-03   -0.63102E-06
    72    0.18428E+04    0.33891E+00    0.00000E+00   -0.65601E+01    0.11554E-06    0.56942E-03   -0.70115E-06
    73    0.18668E+04    0.35187E+00    0.00000E+00   -0.70163E+01    0.11485E-06    0.56094E-03   -0.76051E-06
    74    0.18910E+04    0.36500E+00    0.00000E+00   -0.74851E+01    0.11415E-06    0.55276E-03   -0.79876E-06
    75    0.19155E+04    0.37829E+00    0.00000E+00   -0.79650E+01    0.11346E-06    0.54481E-03   -0.80556E-06
    76    0.19403E+04    0.39175E+00    0.00000E+00   -0.84556E+01    0.11276E-06    0.53701E-03   -0.77471E-06
    77    0.19654E+04    0.40538E+00    0.00000E+00   -0.89566E+01    0.11207E-06    0.52933E-03   -0.71657E-06
    78    0.19909E+04    0.41919E+00    0.00000E+00   -0.94695E+01    0.11137E-06    0.52174E-03   -0.64563E-06
    79    0.20165E+04    0.43314E+00    0.00000E+00   -0.99904E+01    0.11068E-06    0.51423E-03   -0.57635E-06
    80    0.20424E+04    0.44722E+00    0.00000E+00   -0.10521E+02    0.10998E-06    0.50676E-03   -0.52317E-06
    81    0.20685E+04    0.46139E+00    0.00000E+00   -0.11061E+02    0.10929E-06    0.49933E-03   -0.49745E-06
    82    0.20949E+04    0.47567E+00    0.00000E+00   -0.11610E+02    0.10860E-06    0.49197E-03   -0.49813E-06
    83    0.21214E+04    0.49002E+00    0.00000E+00   -0.12167E+02    0.10791E-06    0.48471E-03   -0.52110E-06
    84    0.21482E+04    0.50446E+00    0.00000E+00   -0.12731E+02    0.10722E-06    0.47761E-03   -0.56221E-06
    85    0.21752E+04    0.51895E+00    0.00000E+00   -0.13302E+02    0.10654E-06    0.47069E-03   -0.61735E-06
    86    0.22023E+04    0.53351E+00    0.00000E+00   -0.13879E+02    0.10586E-06    0.46400E-03   -0.68229E-06
    87    0.22298E+04    0.54811E+00    0.00000E+00   -0.14462E+02    0.10518E-06    0.45752E-03   -0.75245E-06
