#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10973E+04    0.34005E+01    0.13490E-02    0.34005E+01    0.51753E-01   -0.65171E-05    0.13490E-02   -0.65171E-05    0.83963E-08
     3    0.10252E+04    0.42487E+01    0.95054E-03    0.42487E+01    0.85301E-01   -0.56550E-05    0.95054E-03   -0.56550E-05    0.51116E-08
     4    0.95787E+03    0.43734E+01    0.71782E-03    0.43734E+01    0.97055E-01   -0.44397E-05    0.71782E-03   -0.44397E-05    0.35350E-08
     5    0.90590E+03    0.40671E+01    0.56612E-03    0.40671E+01    0.87382E-01   -0.32277E-05    0.56612E-03   -0.32277E-05    0.26275E-08
     6    0.86801E+03    0.35554E+01    0.46025E-03    0.35554E+01    0.65707E-01   -0.21452E-05    0.46025E-03   -0.21452E-05    0.20456E-08
     7    0.84163E+03    0.29811E+01    0.38298E-03    0.29811E+01    0.42609E-01   -0.12524E-05    0.38298E-03   -0.12524E-05    0.16456E-08
     8    0.82383E+03    0.24318E+01    0.32420E-03    0.24318E+01    0.24901E-01   -0.57426E-06    0.32420E-03   -0.57426E-06    0.13567E-08
     9    0.81258E+03    0.19544E+01    0.27791E-03    0.19544E+01    0.14508E-01   -0.10764E-06    0.27791E-03   -0.10764E-06    0.11400E-08
    10    0.80643E+03    0.15753E+01    0.24073E-03    0.15753E+01    0.99369E-02    0.17535E-06    0.24073E-03    0.17535E-06    0.97257E-09
    11    0.80393E+03    0.13043E+01    0.21076E-03    0.13043E+01    0.84895E-02    0.31360E-06    0.21076E-03    0.31360E-06    0.84032E-09
    12    0.80527E+03    0.11413E+01    0.18639E-03    0.11413E+01    0.79894E-02    0.34208E-06    0.18639E-03    0.34208E-06    0.73349E-09
    13    0.80864E+03    0.10661E+01    0.16633E-03    0.10661E+01    0.73132E-02    0.29301E-06    0.16633E-03    0.29301E-06    0.64609E-09
