#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12189E+04    0.14473E+01    0.22351E-04    0.14473E+01    0.70062E-01   -0.48807E-08    0.22351E-04   -0.48807E-08    0.73055E-10
    44    0.12362E+04    0.13528E+01    0.21378E-04    0.13528E+01    0.75606E-01   -0.28173E-08    0.21378E-04   -0.28173E-08    0.69617E-10
    45    0.12540E+04    0.12445E+01    0.20465E-04    0.12445E+01    0.81410E-01   -0.24789E-08    0.20465E-04   -0.24789E-08    0.66395E-10
    46    0.12720E+04    0.11191E+01    0.19610E-04    0.11191E+01    0.87475E-01   -0.42860E-08    0.19610E-04   -0.42860E-08    0.63369E-10
    47    0.12901E+04    0.97832E+00    0.18807E-04    0.97832E+00    0.93797E-01   -0.76159E-08    0.18807E-04   -0.76159E-08    0.60525E-10
    48    0.13082E+04    0.82779E+00    0.18050E-04    0.82779E+00    0.10038E+00   -0.11586E-07    0.18050E-04   -0.11586E-07    0.57850E-10
    49    0.13266E+04    0.67249E+00    0.17334E-04    0.67249E+00    0.10721E+00   -0.15312E-07    0.17334E-04   -0.15312E-07    0.55333E-10
    50    0.13453E+04    0.51061E+00    0.16653E-04    0.51061E+00    0.11426E+00   -0.17911E-07    0.16653E-04   -0.17911E-07    0.52961E-10
    51    0.13641E+04    0.33855E+00    0.16001E-04    0.33855E+00    0.12150E+00   -0.18741E-07    0.16001E-04   -0.18741E-07    0.50722E-10
    52    0.13834E+04    0.15109E+00    0.15379E-04    0.15109E+00    0.12902E+00   -0.18118E-07    0.15379E-04   -0.18118E-07    0.48608E-10
    53    0.14026E+04   -0.55565E-01    0.14789E-04   -0.55565E-01    0.13696E+00   -0.16599E-07    0.14789E-04   -0.16599E-07    0.46611E-10
    54    0.14218E+04   -0.27724E+00    0.14232E-04   -0.27724E+00    0.14532E+00   -0.14741E-07    0.14232E-04   -0.14741E-07    0.44722E-10
    55    0.14411E+04   -0.50964E+00    0.13709E-04   -0.50964E+00    0.15408E+00   -0.13101E-07    0.13709E-04   -0.13101E-07    0.42934E-10
    56    0.14608E+04   -0.75454E+00    0.13221E-04   -0.75454E+00    0.16310E+00   -0.12102E-07    0.13221E-04   -0.12102E-07    0.41239E-10
    57    0.14807E+04   -0.10117E+01    0.12764E-04   -0.10117E+01    0.17226E+00   -0.11624E-07    0.12764E-04   -0.11624E-07    0.39631E-10
    58    0.15009E+04   -0.12814E+01    0.12333E-04   -0.12814E+01    0.18158E+00   -0.11413E-07    0.12333E-04   -0.11413E-07    0.38106E-10
    59    0.15213E+04   -0.15643E+01    0.11925E-04   -0.15643E+01    0.19109E+00   -0.11216E-07    0.11925E-04   -0.11216E-07    0.36657E-10
    60    0.15418E+04   -0.18593E+01    0.11533E-04   -0.18593E+01    0.20085E+00   -0.10778E-07    0.11533E-04   -0.10778E-07    0.35280E-10
    61    0.15628E+04   -0.21654E+01    0.11155E-04   -0.21654E+01    0.21095E+00   -0.99249E-08    0.11155E-04   -0.99249E-08    0.33970E-10
    62    0.15836E+04   -0.24837E+01    0.10790E-04   -0.24837E+01    0.22138E+00   -0.88036E-08    0.10790E-04   -0.88036E-08    0.32723E-10
