#    L    TT             EE             TE             PP             TP          
    75    0.18743E+04    0.37869E+00   -0.77553E+01    0.54058E+07    0.91464E+04
    76    0.18982E+04    0.39218E+00   -0.82397E+01    0.53761E+07    0.90180E+04
    77    0.19225E+04    0.40582E+00   -0.87344E+01    0.53463E+07    0.88923E+04
    78    0.19471E+04    0.41965E+00   -0.92408E+01    0.53164E+07    0.87690E+04
    79    0.19719E+04    0.43362E+00   -0.97552E+01    0.52864E+07    0.86479E+04
    80    0.19970E+04    0.44772E+00   -0.10279E+02    0.52564E+07    0.85286E+04
    81    0.20222E+04    0.46190E+00   -0.10813E+02    0.52264E+07    0.84108E+04
    82    0.20477E+04    0.47618E+00   -0.11355E+02    0.51964E+07    0.82945E+04
    83    0.20734E+04    0.49055E+00   -0.11906E+02    0.51664E+07    0.81795E+04
    84    0.20993E+04    0.50500E+00   -0.12464E+02    0.51364E+07    0.80658E+04
    85    0.21254E+04    0.51949E+00   -0.13029E+02    0.51065E+07    0.79533E+04
    86    0.21516E+04    0.53406E+00   -0.13601E+02    0.50766E+07    0.78421E+04
    87    0.21783E+04    0.54866E+00   -0.14178E+02    0.50468E+07    0.77323E+04
    88    0.22049E+04    0.56331E+00   -0.14762E+02    0.50171E+07    0.76244E+04
    89    0.22319E+04    0.57799E+00   -0.15352E+02    0.49874E+07    0.75186E+04
    90    0.22591E+04    0.59268E+00   -0.15948E+02    0.49578E+07    0.74155E+04
    91    0.22865E+04    0.60736E+00   -0.16548E+02    0.49284E+07    0.73151E+04
    92    0.23141E+04    0.62201E+00   -0.17153E+02    0.48990E+07    0.72175E+04
    93    0.23420E+04    0.63664E+00   -0.17762E+02    0.48697E+07    0.71227E+04
    94    0.23699E+04    0.65120E+00   -0.18374E+02    0.48406E+07    0.70304E+04
    95    0.23982E+04    0.66569E+00   -0.18990E+02    0.48115E+07    0.69406E+04
    96    0.24264E+04    0.68011E+00   -0.19610E+02    0.47826E+07    0.68532E+04
    97    0.24551E+04    0.69443E+00   -0.20231E+02    0.47537E+07    0.67680E+04
    98    0.24840E+04    0.70865E+00   -0.20853E+02    0.47250E+07    0.66850E+04
    99    0.25129E+04    0.72273E+00   -0.21479E+02    0.46965E+07    0.66041E+04
   100    0.25421E+04    0.73668E+00   -0.22103E+02    0.46680E+07    0.65252E+04
   101    0.25715E+04    0.75055E+00   -0.22729E+02    0.46397E+07    0.64480E+04
   102    0.26014E+04    0.76419E+00   -0.23355E+02    0.46115E+07    0.63727E+04
   103    0.26312E+04    0.77769E+00   -0.23981E+02    0.45835E+07    0.62989E+04
   104    0.26612E+04    0.79103E+00   -0.24605E+02    0.45556E+07    0.62267E+04
   105    0.26914E+04    0.80415E+00   -0.25228E+02    0.45278E+07    0.61559E+04
   106    0.27217E+04    0.81712E+00   -0.25850E+02    0.45002E+07    0.60865E+04
   107    0.27520E+04    0.82980E+00   -0.26468E+02    0.44728E+07    0.60183E+04
   108    0.27827E+04    0.84225E+00   -0.27085E+02    0.44455E+07    0.59511E+04
   109    0.28135E+04    0.85441E+00   -0.27697E+02    0.44184E+07    0.58850E+04
   110    0.28444E+04    0.86627E+00   -0.28305E+02    0.43915E+07    0.58198E+04
   111    0.28754E+04    0.87792E+00   -0.28909E+02    0.43647E+07    0.57554E+04
   112    0.29066E+04    0.88927E+00   -0.29509E+02    0.43381E+07    0.56918E+04
   113    0.29380E+04    0.90032E+00   -0.30103E+02    0.43116E+07    0.56290E+04
   114    0.29695E+04    0.91101E+00   -0.30690E+02    0.42854E+07    0.55670E+04
   115    0.30012E+04    0.92148E+00   -0.31271E+02    0.42593E+07    0.55058E+04
   116    0.30328E+04    0.93151E+00   -0.31844E+02    0.42333E+07    0.54455E+04
   117    0.30648E+04    0.94117E+00   -0.32410E+02    0.42076E+07    0.53859E+04
   118    0.30969E+04    0.95061E+00   -0.32968E+02    0.41820E+07    0.53272E+04
   119    0.31290E+04    0.95969E+00   -0.33516E+02    0.41566E+07    0.52693E+04
   120    0.31613E+04    0.96825E+00   -0.34055E+02    0.41314E+07    0.52123E+04
   121    0.31935E+04    0.97660E+00   -0.34584E+02    0.41063E+07    0.51560E+04
   122    0.32258E+04    0.98444E+00   -0.35103E+02    0.40814E+07    0.51007E+04
   123    0.32582E+04    0.99184E+00   -0.35611E+02    0.40567E+07    0.50461E+04
   124    0.32906E+04    0.99887E+00   -0.36106E+02    0.40322E+07    0.49924E+04
   125    0.33230E+04    0.10055E+01   -0.36589E+02    0.40078E+07    0.49395E+04
   126    0.33555E+04    0.10117E+01   -0.37061E+02    0.39837E+07    0.48875E+04
   127    0.33879E+04    0.10174E+01   -0.37520E+02    0.39596E+07    0.48364E+04
   128    0.34204E+04    0.10228E+01   -0.37965E+02    0.39358E+07    0.47861E+04
   129    0.34529E+04    0.10276E+01   -0.38397E+02    0.39122E+07    0.47367E+04
   130    0.34853E+04    0.10320E+01   -0.38813E+02    0.38887E+07    0.46881E+04
   131    0.35178E+04    0.10359E+01   -0.39216E+02    0.38654E+07    0.46404E+04
   132    0.35503E+04    0.10394E+01   -0.39602E+02    0.38423E+07    0.45936E+04
   133    0.35828E+04    0.10424E+01   -0.39974E+02    0.38193E+07    0.45475E+04
   134    0.36152E+04    0.10450E+01   -0.40328E+02    0.37966E+07    0.45023E+04
   135    0.36476E+04    0.10471E+01   -0.40666E+02    0.37740E+07    0.44578E+04
