#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10973E+04    0.51753E-01    0.00000E+00    0.34005E+01    0.50378E-07    0.33043E-02   -0.15964E-04
     3    0.10252E+04    0.85301E-01    0.00000E+00    0.42487E+01    0.61339E-07    0.32928E-02   -0.19589E-04
     4    0.95787E+03    0.97055E-01    0.00000E+00    0.43734E+01    0.70701E-07    0.32102E-02   -0.19855E-04
     5    0.90590E+03    0.87382E-01    0.00000E+00    0.40671E+01    0.78824E-07    0.31007E-02   -0.17679E-04
     6    0.86801E+03    0.65707E-01    0.00000E+00    0.35554E+01    0.85914E-07    0.29828E-02   -0.13903E-04
     7    0.84163E+03    0.42609E-01    0.00000E+00    0.29811E+01    0.92156E-07    0.28660E-02   -0.93720E-05
     8    0.82383E+03    0.24901E-01    0.00000E+00    0.24318E+01    0.97681E-07    0.27509E-02   -0.48728E-05
     9    0.81258E+03    0.14508E-01    0.00000E+00    0.19544E+01    0.10260E-06    0.26365E-02   -0.10212E-05
    10    0.80643E+03    0.99369E-02    0.00000E+00    0.15753E+01    0.10698E-06    0.25248E-02    0.18390E-05
    11    0.80393E+03    0.84895E-02    0.00000E+00    0.13043E+01    0.11092E-06    0.24215E-02    0.36030E-05
    12    0.80527E+03    0.79894E-02    0.00000E+00    0.11413E+01    0.11444E-06    0.23284E-02    0.42656E-05
    13    0.80864E+03    0.73132E-02    0.00000E+00    0.10661E+01    0.11759E-06    0.22439E-02    0.39529E-05
    14    0.81310E+03    0.64417E-02    0.00000E+00    0.10538E+01    0.12042E-06    0.21659E-02    0.28677E-05
    15    0.81897E+03    0.56742E-02    0.00000E+00    0.10862E+01    0.12295E-06    0.20918E-02    0.14259E-05
    16    0.82666E+03    0.52843E-02    0.00000E+00    0.11473E+01    0.12523E-06    0.20198E-02    0.30849E-07
    17    0.83608E+03    0.53462E-02    0.00000E+00    0.12207E+01    0.12727E-06    0.19513E-02   -0.11427E-05
    18    0.84626E+03    0.56751E-02    0.00000E+00    0.12930E+01    0.12910E-06    0.18879E-02   -0.19976E-05
    19    0.85802E+03    0.60993E-02    0.00000E+00    0.13578E+01    0.13074E-06    0.18283E-02   -0.25186E-05
    20    0.86968E+03    0.65392E-02    0.00000E+00    0.14094E+01    0.13218E-06    0.17712E-02   -0.27044E-05
    21    0.88162E+03    0.70020E-02    0.00000E+00    0.14522E+01    0.13347E-06    0.17161E-02   -0.25303E-05
    22    0.89410E+03    0.76004E-02    0.00000E+00    0.14911E+01    0.13460E-06    0.16632E-02   -0.20130E-05
    23    0.90695E+03    0.84202E-02    0.00000E+00    0.15274E+01    0.13561E-06    0.16127E-02   -0.13582E-05
    24    0.92021E+03    0.94943E-02    0.00000E+00    0.15619E+01    0.13648E-06    0.15649E-02   -0.78619E-06
    25    0.93382E+03    0.10843E-01    0.00000E+00    0.15977E+01    0.13724E-06    0.15196E-02   -0.39445E-06
    26    0.94759E+03    0.12436E-01    0.00000E+00    0.16390E+01    0.13789E-06    0.14765E-02   -0.22077E-06
    27    0.96176E+03    0.14229E-01    0.00000E+00    0.16832E+01    0.13844E-06    0.14353E-02   -0.18755E-06
    28    0.97618E+03    0.16205E-01    0.00000E+00    0.17279E+01    0.13891E-06    0.13960E-02   -0.21368E-06
    29    0.99091E+03    0.18369E-01    0.00000E+00    0.17719E+01    0.13928E-06    0.13587E-02   -0.31635E-06
    30    0.10059E+04    0.20733E-01    0.00000E+00    0.18125E+01    0.13957E-06    0.13237E-02   -0.52429E-06
    31    0.10209E+04    0.23284E-01    0.00000E+00    0.18465E+01    0.13978E-06    0.12904E-02   -0.81509E-06
    32    0.10363E+04    0.25994E-01    0.00000E+00    0.18708E+01    0.13993E-06    0.12582E-02   -0.11389E-05
    33    0.10520E+04    0.28877E-01    0.00000E+00    0.18833E+01    0.14001E-06    0.12269E-02   -0.13864E-05
    34    0.10679E+04    0.31959E-01    0.00000E+00    0.18840E+01    0.14004E-06    0.11964E-02   -0.14599E-05
    35    0.10839E+04    0.35244E-01    0.00000E+00    0.18753E+01    0.14001E-06    0.11669E-02   -0.13656E-05
    36    0.11000E+04    0.38737E-01    0.00000E+00    0.18585E+01    0.13993E-06    0.11385E-02   -0.11505E-05
    37    0.11163E+04    0.42450E-01    0.00000E+00    0.18294E+01    0.13981E-06    0.11115E-02   -0.92226E-06
    38    0.11329E+04    0.46401E-01    0.00000E+00    0.17862E+01    0.13964E-06    0.10861E-02   -0.77396E-06
    39    0.11498E+04    0.50597E-01    0.00000E+00    0.17316E+01    0.13943E-06    0.10620E-02   -0.68145E-06
    40    0.11669E+04    0.55052E-01    0.00000E+00    0.16698E+01    0.13918E-06    0.10388E-02   -0.59156E-06
    41    0.11842E+04    0.59779E-01    0.00000E+00    0.16033E+01    0.13890E-06    0.10161E-02   -0.46558E-06
    42    0.12015E+04    0.64782E-01    0.00000E+00    0.15301E+01    0.13858E-06    0.99381E-03   -0.32204E-06
    43    0.12189E+04    0.70062E-01    0.00000E+00    0.14473E+01    0.13823E-06    0.97217E-03   -0.19366E-06
    44    0.12363E+04    0.75606E-01    0.00000E+00    0.13527E+01    0.13784E-06    0.95124E-03   -0.11306E-06
    45    0.12540E+04    0.81410E-01    0.00000E+00    0.12444E+01    0.13743E-06    0.93112E-03   -0.11277E-06
    46    0.12720E+04    0.87474E-01    0.00000E+00    0.11190E+01    0.13700E-06    0.91188E-03   -0.21284E-06
    47    0.12901E+04    0.93796E-01    0.00000E+00    0.97828E+00    0.13654E-06    0.89339E-03   -0.38377E-06
    48    0.13083E+04    0.10038E+00    0.00000E+00    0.82775E+00    0.13606E-06    0.87551E-03   -0.58378E-06
    49    0.13266E+04    0.10721E+00    0.00000E+00    0.67244E+00    0.13556E-06    0.85807E-03   -0.77119E-06
    50    0.13453E+04    0.11426E+00    0.00000E+00    0.51056E+00    0.13505E-06    0.84092E-03   -0.90445E-06
    51    0.13642E+04    0.12150E+00    0.00000E+00    0.33851E+00    0.13451E-06    0.82395E-03   -0.95345E-06
    52    0.13834E+04    0.12902E+00    0.00000E+00    0.15104E+00    0.13396E-06    0.80728E-03   -0.93357E-06
    53    0.14026E+04    0.13696E+00    0.00000E+00   -0.55616E-01    0.13340E-06    0.79109E-03   -0.87147E-06
    54    0.14218E+04    0.14532E+00    0.00000E+00   -0.27729E+00    0.13282E-06    0.77554E-03   -0.79379E-06
    55    0.14411E+04    0.15408E+00    0.00000E+00   -0.50970E+00    0.13223E-06    0.76080E-03   -0.72707E-06
    56    0.14608E+04    0.16310E+00    0.00000E+00   -0.75460E+00    0.13163E-06    0.74700E-03   -0.69117E-06
    57    0.14807E+04    0.17226E+00    0.00000E+00   -0.10117E+01    0.13102E-06    0.73399E-03   -0.67922E-06
    58    0.15009E+04    0.18158E+00    0.00000E+00   -0.12815E+01    0.13040E-06    0.72157E-03   -0.67769E-06
    59    0.15213E+04    0.19109E+00    0.00000E+00   -0.15644E+01    0.12976E-06    0.70956E-03   -0.67311E-06
    60    0.15418E+04    0.20085E+00    0.00000E+00   -0.18594E+01    0.12912E-06    0.69775E-03   -0.65201E-06
    61    0.15628E+04    0.21095E+00    0.00000E+00   -0.21655E+01    0.12847E-06    0.68600E-03   -0.60551E-06
    62    0.15836E+04    0.22138E+00    0.00000E+00   -0.24838E+01    0.12781E-06    0.67430E-03   -0.54302E-06
    63    0.16045E+04    0.23209E+00    0.00000E+00   -0.28156E+01    0.12715E-06    0.66270E-03   -0.47849E-06
    64    0.16259E+04    0.24309E+00    0.00000E+00   -0.31624E+01    0.12648E-06    0.65123E-03   -0.42586E-06
    65    0.16472E+04    0.25436E+00    0.00000E+00   -0.35251E+01    0.12580E-06    0.63994E-03   -0.39903E-06
    66    0.16689E+04    0.26582E+00    0.00000E+00   -0.39020E+01    0.12513E-06    0.62886E-03   -0.40829E-06
    67    0.16907E+04    0.27749E+00    0.00000E+00   -0.42902E+01    0.12445E-06    0.61806E-03   -0.44938E-06
    68    0.17130E+04    0.28940E+00    0.00000E+00   -0.46877E+01    0.12376E-06    0.60756E-03   -0.51446E-06
    69    0.17354E+04    0.30151E+00    0.00000E+00   -0.50927E+01    0.12308E-06    0.59743E-03   -0.59568E-06
    70    0.17582E+04    0.31386E+00    0.00000E+00   -0.55064E+01    0.12239E-06    0.58771E-03   -0.68521E-06
    71    0.17810E+04    0.32646E+00    0.00000E+00   -0.59312E+01    0.12170E-06    0.57843E-03   -0.77472E-06
    72    0.18041E+04    0.33926E+00    0.00000E+00   -0.63684E+01    0.12101E-06    0.56956E-03   -0.85386E-06
    73    0.18273E+04    0.35224E+00    0.00000E+00   -0.68188E+01    0.12032E-06    0.56103E-03   -0.91180E-06
    74    0.18506E+04    0.36538E+00    0.00000E+00   -0.72815E+01    0.11962E-06    0.55280E-03   -0.93769E-06
    75    0.18743E+04    0.37869E+00    0.00000E+00   -0.77553E+01    0.11893E-06    0.54482E-03   -0.92071E-06
    76    0.18982E+04    0.39218E+00    0.00000E+00   -0.82397E+01    0.11824E-06    0.53703E-03   -0.85479E-06
    77    0.19225E+04    0.40582E+00    0.00000E+00   -0.87344E+01    0.11754E-06    0.52941E-03   -0.75266E-06
    78    0.19471E+04    0.41965E+00    0.00000E+00   -0.92408E+01    0.11684E-06    0.52195E-03   -0.63181E-06
