#    L    TT             EE             BB             TE          
     2    0.10973E+04    0.51753E-01    0.15720E-05    0.34005E+01
     3    0.10252E+04    0.85301E-01    0.31446E-05    0.42487E+01
     4    0.95788E+03    0.97057E-01    0.52421E-05    0.43734E+01
     5    0.90591E+03    0.87388E-01    0.78652E-05    0.40671E+01
     6    0.86804E+03    0.65717E-01    0.11015E-04    0.35553E+01
     7    0.84166E+03    0.42624E-01    0.14692E-04    0.29811E+01
     8    0.82386E+03    0.24920E-01    0.18897E-04    0.24318E+01
     9    0.81263E+03    0.14531E-01    0.23632E-04    0.19544E+01
    10    0.80648E+03    0.99657E-02    0.28898E-04    0.15753E+01
    11    0.80400E+03    0.85241E-02    0.34697E-04    0.13043E+01
    12    0.80535E+03    0.80303E-02    0.41030E-04    0.11413E+01
    13    0.80873E+03    0.73610E-02    0.47898E-04    0.10661E+01
    14    0.81321E+03    0.64970E-02    0.55304E-04    0.10538E+01
    15    0.81909E+03    0.57374E-02    0.63249E-04    0.10861E+01
    16    0.82679E+03    0.53560E-02    0.71735E-04    0.11473E+01
    17    0.83623E+03    0.54269E-02    0.80764E-04    0.12207E+01
    18    0.84642E+03    0.57653E-02    0.90338E-04    0.12929E+01
    19    0.85820E+03    0.61997E-02    0.10046E-03    0.13577E+01
    20    0.86988E+03    0.66502E-02    0.11113E-03    0.14092E+01
    21    0.88183E+03    0.71243E-02    0.12235E-03    0.14520E+01
    22    0.89434E+03    0.77344E-02    0.13412E-03    0.14910E+01
    23    0.90720E+03    0.85665E-02    0.14644E-03    0.15272E+01
    24    0.92049E+03    0.96535E-02    0.15932E-03    0.15616E+01
    25    0.93412E+03    0.11015E-01    0.17276E-03    0.15975E+01
    26    0.94791E+03    0.12622E-01    0.18675E-03    0.16387E+01
    27    0.96210E+03    0.14430E-01    0.20131E-03    0.16829E+01
    28    0.97654E+03    0.16421E-01    0.21642E-03    0.17275E+01
    29    0.99129E+03    0.18600E-01    0.23210E-03    0.17715E+01
    30    0.10063E+04    0.20981E-01    0.24834E-03    0.18120E+01
    31    0.10213E+04    0.23548E-01    0.26515E-03    0.18460E+01
    32    0.10367E+04    0.26276E-01    0.28252E-03    0.18701E+01
    33    0.10525E+04    0.29176E-01    0.30045E-03    0.18826E+01
    34    0.10684E+04    0.32277E-01    0.31896E-03    0.18832E+01
    35    0.10845E+04    0.35580E-01    0.33802E-03    0.18745E+01
    36    0.11006E+04    0.39092E-01    0.35766E-03    0.18576E+01
    37    0.11168E+04    0.42825E-01    0.37786E-03    0.18284E+01
    38    0.11335E+04    0.46796E-01    0.39862E-03    0.17850E+01
    39    0.11505E+04    0.51014E-01    0.41995E-03    0.17304E+01
    40    0.11676E+04    0.55490E-01    0.44185E-03    0.16685E+01
    41    0.11849E+04    0.60238E-01    0.46431E-03    0.16018E+01
    42    0.12022E+04    0.65263E-01    0.48734E-03    0.15286E+01
    43    0.12196E+04    0.70566E-01    0.51092E-03    0.14457E+01
    44    0.12370E+04    0.76133E-01    0.53508E-03    0.13510E+01
    45    0.12548E+04    0.81961E-01    0.55979E-03    0.12426E+01
    46    0.12728E+04    0.88049E-01    0.58506E-03    0.11171E+01
    47    0.12909E+04    0.94396E-01    0.61089E-03    0.97623E+00
    48    0.13091E+04    0.10101E+00    0.63728E-03    0.82559E+00
    49    0.13275E+04    0.10786E+00    0.66423E-03    0.67018E+00
    50    0.13462E+04    0.11493E+00    0.69173E-03    0.50819E+00
    51    0.13651E+04    0.12220E+00    0.71979E-03    0.33603E+00
    52    0.13844E+04    0.12974E+00    0.74840E-03    0.14847E+00
    53    0.14037E+04    0.13771E+00    0.77757E-03   -0.58288E-01
    54    0.14229E+04    0.14610E+00    0.80728E-03   -0.28006E+00
    55    0.14422E+04    0.15489E+00    0.83754E-03   -0.51255E+00
    56    0.14619E+04    0.16393E+00    0.86836E-03   -0.75753E+00
    57    0.14818E+04    0.17312E+00    0.89972E-03   -0.10147E+01
    58    0.15021E+04    0.18247E+00    0.93163E-03   -0.12846E+01
    59    0.15225E+04    0.19201E+00    0.96408E-03   -0.15675E+01
    60    0.15430E+04    0.20180E+00    0.99708E-03   -0.18625E+01
    61    0.15640E+04    0.21193E+00    0.10306E-02   -0.21687E+01
    62    0.15849E+04    0.22239E+00    0.10647E-02   -0.24871E+01
    63    0.16059E+04    0.23313E+00    0.10993E-02   -0.28189E+01
    64    0.16272E+04    0.24416E+00    0.11345E-02   -0.31657E+01
    65    0.16486E+04    0.25546E+00    0.11702E-02   -0.35283E+01
    66    0.16703E+04    0.26695E+00    0.12065E-02   -0.39052E+01
    67    0.16922E+04    0.27865E+00    0.12433E-02   -0.42933E+01
    68    0.17145E+04    0.29058E+00    0.12807E-02   -0.46909E+01
    69    0.17369E+04    0.30272E+00    0.13186E-02   -0.50957E+01
    70    0.17597E+04    0.31511E+00    0.13570E-02   -0.55094E+01
    71    0.17826E+04    0.32774E+00    0.13960E-02   -0.59340E+01
    72    0.18057E+04    0.34057E+00    0.14356E-02   -0.63711E+01
    73    0.18289E+04    0.35358E+00    0.14757E-02   -0.68213E+01
    74    0.18523E+04    0.36675E+00    0.15163E-02   -0.72838E+01
    75    0.18760E+04    0.38010E+00    0.15575E-02   -0.77574E+01
    76    0.19000E+04    0.39361E+00    0.15993E-02   -0.82415E+01
    77    0.19243E+04    0.40728E+00    0.16416E-02   -0.87360E+01
    78    0.19489E+04    0.42115E+00    0.16845E-02   -0.92421E+01
    79    0.19737E+04    0.43514E+00    0.17279E-02   -0.97562E+01
    80    0.19988E+04    0.44927E+00    0.17719E-02   -0.10280E+02
    81    0.20241E+04    0.46348E+00    0.18165E-02   -0.10813E+02
    82    0.20496E+04    0.47780E+00    0.18616E-02   -0.11355E+02
    83    0.20753E+04    0.49220E+00    0.19074E-02   -0.11905E+02
    84    0.21013E+04    0.50667E+00    0.19537E-02   -0.12462E+02
    85    0.21274E+04    0.52120E+00    0.20005E-02   -0.13027E+02
    86    0.21536E+04    0.53580E+00    0.20480E-02   -0.13598E+02
    87    0.21803E+04    0.55043E+00    0.20960E-02   -0.14175E+02
    88    0.22070E+04    0.56511E+00    0.21446E-02   -0.14758E+02
    89    0.22340E+04    0.57982E+00    0.21939E-02   -0.15348E+02
    90    0.22612E+04    0.59454E+00    0.22437E-02   -0.15943E+02
    91    0.22886E+04    0.60925E+00    0.22941E-02   -0.16542E+02
    92    0.23162E+04    0.62393E+00    0.23451E-02   -0.17146E+02
    93    0.23441E+04    0.63859E+00    0.23967E-02   -0.17755E+02
    94    0.23721E+04    0.65318E+00    0.24489E-02   -0.18366E+02
    95    0.24004E+04    0.66771E+00    0.25018E-02   -0.18981E+02
    96    0.24286E+04    0.68215E+00    0.25552E-02   -0.19599E+02
    97    0.24573E+04    0.69651E+00    0.26093E-02   -0.20220E+02
    98    0.24862E+04    0.71076E+00    0.26640E-02   -0.20841E+02
    99    0.25151E+04    0.72487E+00    0.27193E-02   -0.21465E+02
   100    0.25444E+04    0.73885E+00    0.27753E-02   -0.22088E+02
   101    0.25738E+04    0.75275E+00    0.28318E-02   -0.22713E+02
   102    0.26036E+04    0.76642E+00    0.28890E-02   -0.23338E+02
   103    0.26335E+04    0.77995E+00    0.29469E-02   -0.23963E+02
   104    0.26635E+04    0.79333E+00    0.30054E-02   -0.24585E+02
   105    0.26936E+04    0.80648E+00    0.30645E-02   -0.25207E+02
   106    0.27240E+04    0.81949E+00    0.31243E-02   -0.25827E+02
   107    0.27543E+04    0.83220E+00    0.31848E-02   -0.26444E+02
   108    0.27850E+04    0.84468E+00    0.32458E-02   -0.27059E+02
   109    0.28158E+04    0.85688E+00    0.33076E-02   -0.27670E+02
   110    0.28467E+04    0.86878E+00    0.33700E-02   -0.28276E+02
   111    0.28777E+04    0.88046E+00    0.34331E-02   -0.28878E+02
   112    0.29089E+04    0.89184E+00    0.34969E-02   -0.29476E+02
   113    0.29403E+04    0.90294E+00    0.35613E-02   -0.30068E+02
   114    0.29717E+04    0.91366E+00    0.36264E-02   -0.30654E+02
   115    0.30034E+04    0.92417E+00    0.36922E-02   -0.31233E+02
   116    0.30351E+04    0.93424E+00    0.37587E-02   -0.31804E+02
   117    0.30670E+04    0.94394E+00    0.38258E-02   -0.32367E+02
   118    0.30991E+04    0.95343E+00    0.38937E-02   -0.32923E+02
   119    0.31312E+04    0.96256E+00    0.39623E-02   -0.33470E+02
   120    0.31634E+04    0.97117E+00    0.40316E-02   -0.34006E+02
   121    0.31956E+04    0.97956E+00    0.41015E-02   -0.34533E+02
   122    0.32279E+04    0.98745E+00    0.41722E-02   -0.35049E+02
   123    0.32602E+04    0.99489E+00    0.42436E-02   -0.35555E+02
   124    0.32926E+04    0.10020E+01    0.43158E-02   -0.36048E+02
   125    0.33250E+04    0.10086E+01    0.43886E-02   -0.36529E+02
   126    0.33574E+04    0.10149E+01    0.44623E-02   -0.36998E+02
   127    0.33899E+04    0.10207E+01    0.45366E-02   -0.37455E+02
   128    0.34223E+04    0.10261E+01    0.46117E-02   -0.37898E+02
   129    0.34547E+04    0.10310E+01    0.46875E-02   -0.38327E+02
   130    0.34872E+04    0.10354E+01    0.47641E-02   -0.38740E+02
   131    0.35196E+04    0.10395E+01    0.48415E-02   -0.39140E+02
   132    0.35521E+04    0.10430E+01    0.49197E-02   -0.39524E+02
