#    L    TT             EE             TE             PP             TP          
    75    0.19155E+04    0.37829E+00   -0.79650E+01    0.51570E+07    0.91463E+04
    76    0.19403E+04    0.39175E+00   -0.84556E+01    0.51272E+07    0.90176E+04
    77    0.19654E+04    0.40538E+00   -0.89566E+01    0.50973E+07    0.88909E+04
    78    0.19909E+04    0.41919E+00   -0.94695E+01    0.50673E+07    0.87656E+04
    79    0.20165E+04    0.43314E+00   -0.99904E+01    0.50373E+07    0.86414E+04
    80    0.20424E+04    0.44722E+00   -0.10521E+02    0.50073E+07    0.85180E+04
    81    0.20685E+04    0.46139E+00   -0.11061E+02    0.49773E+07    0.83950E+04
    82    0.20949E+04    0.47567E+00   -0.11610E+02    0.49473E+07    0.82731E+04
    83    0.21214E+04    0.49002E+00   -0.12167E+02    0.49174E+07    0.81528E+04
    84    0.21482E+04    0.50446E+00   -0.12731E+02    0.48875E+07    0.80350E+04
    85    0.21752E+04    0.51895E+00   -0.13302E+02    0.48576E+07    0.79204E+04
    86    0.22023E+04    0.53351E+00   -0.13879E+02    0.48279E+07    0.78093E+04
    87    0.22298E+04    0.54811E+00   -0.14462E+02    0.47982E+07    0.77018E+04
    88    0.22573E+04    0.56275E+00   -0.15051E+02    0.47686E+07    0.75974E+04
    89    0.22852E+04    0.57743E+00   -0.15647E+02    0.47391E+07    0.74959E+04
    90    0.23133E+04    0.59212E+00   -0.16248E+02    0.47097E+07    0.73969E+04
    91    0.23415E+04    0.60679E+00   -0.16853E+02    0.46805E+07    0.73002E+04
    92    0.23700E+04    0.62144E+00   -0.17464E+02    0.46513E+07    0.72057E+04
    93    0.23988E+04    0.63606E+00   -0.18079E+02    0.46223E+07    0.71134E+04
    94    0.24276E+04    0.65061E+00   -0.18698E+02    0.45934E+07    0.70230E+04
    95    0.24567E+04    0.66510E+00   -0.19320E+02    0.45646E+07    0.69347E+04
    96    0.24858E+04    0.67951E+00   -0.19946E+02    0.45360E+07    0.68482E+04
    97    0.25154E+04    0.69383E+00   -0.20574E+02    0.45074E+07    0.67636E+04
