#    L    TT             EE             BB             TE          
     2    0.11105E+04    0.53713E-01    0.14710E-05    0.33933E+01
     3    0.10366E+04    0.87268E-01    0.29425E-05    0.42366E+01
     4    0.96743E+03    0.97591E-01    0.49052E-05    0.43471E+01
     5    0.91406E+03    0.86141E-01    0.73597E-05    0.40261E+01
     6    0.87518E+03    0.63365E-01    0.10307E-04    0.35033E+01
     7    0.84812E+03    0.40191E-01    0.13748E-04    0.29232E+01
     8    0.82984E+03    0.23144E-01    0.17683E-04    0.23736E+01
     9    0.81827E+03    0.13599E-01    0.22114E-04    0.19005E+01
    10    0.81193E+03    0.96347E-02    0.27043E-04    0.15293E+01
    11    0.80932E+03    0.84206E-02    0.32470E-04    0.12688E+01
    12    0.81059E+03    0.78959E-02    0.38397E-04    0.11178E+01
    13    0.81397E+03    0.71195E-02    0.44825E-04    0.10536E+01
    14    0.81851E+03    0.62225E-02    0.51757E-04    0.10490E+01
    15    0.82449E+03    0.55054E-02    0.59194E-04    0.10854E+01
    16    0.83231E+03    0.52025E-02    0.67137E-04    0.11473E+01
    17    0.84188E+03    0.53332E-02    0.75589E-04    0.12189E+01
    18    0.85225E+03    0.56709E-02    0.84552E-04    0.12879E+01
    19    0.86424E+03    0.60671E-02    0.94026E-04    0.13484E+01
    20    0.87617E+03    0.64789E-02    0.10401E-03    0.13954E+01
    21    0.88839E+03    0.69405E-02    0.11452E-03    0.14344E+01
    22    0.90119E+03    0.75799E-02    0.12554E-03    0.14710E+01
    23    0.91436E+03    0.84635E-02    0.13708E-03    0.15066E+01
    24    0.92797E+03    0.96002E-02    0.14914E-03    0.15420E+01
    25    0.94196E+03    0.11001E-01    0.16172E-03    0.15797E+01
    26    0.95612E+03    0.12634E-01    0.17483E-03    0.16229E+01
    27    0.97070E+03    0.14454E-01    0.18846E-03    0.16687E+01
    28    0.98556E+03    0.16447E-01    0.20262E-03    0.17142E+01
    29    0.10007E+04    0.18623E-01    0.21731E-03    0.17579E+01
    30    0.10162E+04    0.20997E-01    0.23252E-03    0.17969E+01
    31    0.10317E+04    0.23552E-01    0.24826E-03    0.18284E+01
    32    0.10476E+04    0.26263E-01    0.26453E-03    0.18496E+01
    33    0.10639E+04    0.29141E-01    0.28133E-03    0.18584E+01
    34    0.10803E+04    0.32216E-01    0.29867E-03    0.18541E+01
    35    0.10969E+04    0.35503E-01    0.31653E-03    0.18406E+01
    36    0.11136E+04    0.39017E-01    0.33493E-03    0.18201E+01
    37    0.11304E+04    0.42757E-01    0.35385E-03    0.17885E+01
    38    0.11476E+04    0.46728E-01    0.37331E-03    0.17434E+01
    39    0.11651E+04    0.50941E-01    0.39330E-03    0.16874E+01
    40    0.11828E+04    0.55413E-01    0.41382E-03    0.16241E+01
    41    0.12007E+04    0.60162E-01    0.43487E-03    0.15557E+01
    42    0.12186E+04    0.65191E-01    0.45645E-03    0.14802E+01
    43    0.12367E+04    0.70497E-01    0.47855E-03    0.13946E+01
    44    0.12547E+04    0.76063E-01    0.50119E-03    0.12968E+01
    45    0.12731E+04    0.81882E-01    0.52435E-03    0.11847E+01
    46    0.12918E+04    0.87952E-01    0.54804E-03    0.10550E+01
    47    0.13106E+04    0.94273E-01    0.57225E-03    0.90972E+00
    48    0.13295E+04    0.10086E+00    0.59699E-03    0.75441E+00
    49    0.13485E+04    0.10769E+00    0.62225E-03    0.59426E+00
    50    0.13680E+04    0.11474E+00    0.64803E-03    0.42763E+00
    51    0.13876E+04    0.12200E+00    0.67433E-03    0.25102E+00
    52    0.14076E+04    0.12954E+00    0.70115E-03    0.59190E-01
    53    0.14276E+04    0.13752E+00    0.72849E-03   -0.15173E+00
    54    0.14475E+04    0.14591E+00    0.75635E-03   -0.37763E+00
    55    0.14676E+04    0.15469E+00    0.78472E-03   -0.61428E+00
    56    0.14880E+04    0.16373E+00    0.81361E-03   -0.86351E+00
    57    0.15087E+04    0.17290E+00    0.84301E-03   -0.11251E+01
    58    0.15297E+04    0.18223E+00    0.87293E-03   -0.13995E+01
    59    0.15508E+04    0.19175E+00    0.90336E-03   -0.16872E+01
    60    0.15721E+04    0.20152E+00    0.93430E-03   -0.19874E+01
    61    0.15939E+04    0.21163E+00    0.96575E-03   -0.22990E+01
    62    0.16156E+04    0.22207E+00    0.99772E-03   -0.26230E+01
    63    0.16373E+04    0.23280E+00    0.10302E-02   -0.29606E+01
    64    0.16595E+04    0.24382E+00    0.10632E-02   -0.33132E+01
    65    0.16816E+04    0.25511E+00    0.10967E-02   -0.36816E+01
    66    0.17041E+04    0.26659E+00    0.11307E-02   -0.40640E+01
    67    0.17268E+04    0.27828E+00    0.11652E-02   -0.44576E+01
    68    0.17499E+04    0.29021E+00    0.12002E-02   -0.48605E+01
    69    0.17732E+04    0.30234E+00    0.12358E-02   -0.52707E+01
    70    0.17968E+04    0.31471E+00    0.12719E-02   -0.56898E+01
    71    0.18205E+04    0.32732E+00    0.13084E-02   -0.61200E+01
    72    0.18444E+04    0.34014E+00    0.13455E-02   -0.65628E+01
    73    0.18684E+04    0.35313E+00    0.13831E-02   -0.70189E+01
    74    0.18926E+04    0.36628E+00    0.14213E-02   -0.74875E+01
    75    0.19172E+04    0.37960E+00    0.14599E-02   -0.79672E+01
    76    0.19420E+04    0.39309E+00    0.14991E-02   -0.84575E+01
    77    0.19671E+04    0.40675E+00    0.15388E-02   -0.89583E+01
    78    0.19926E+04    0.42059E+00    0.15790E-02   -0.94709E+01
