#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11105E+04    0.53711E-01    0.00000E+00    0.33933E+01    0.49476E-07    0.33592E-02   -0.16232E-04
     3    0.10366E+04    0.87266E-01    0.00000E+00    0.42366E+01    0.60179E-07    0.33448E-02   -0.19784E-04
     4    0.96742E+03    0.97586E-01    0.00000E+00    0.43471E+01    0.69307E-07    0.32591E-02   -0.19847E-04
     5    0.91405E+03    0.86134E-01    0.00000E+00    0.40261E+01    0.77212E-07    0.31464E-02   -0.17420E-04
     6    0.87516E+03    0.63354E-01    0.00000E+00    0.35033E+01    0.84099E-07    0.30253E-02   -0.13417E-04
     7    0.84809E+03    0.40177E-01    0.00000E+00    0.29232E+01    0.90151E-07    0.29056E-02   -0.87273E-05
     8    0.82980E+03    0.23127E-01    0.00000E+00    0.23736E+01    0.95498E-07    0.27879E-02   -0.41653E-05
     9    0.81823E+03    0.13577E-01    0.00000E+00    0.19005E+01    0.10025E-06    0.26714E-02   -0.36244E-06
    10    0.81188E+03    0.96077E-02    0.00000E+00    0.15293E+01    0.10447E-06    0.25581E-02    0.23446E-05
    11    0.80926E+03    0.83881E-02    0.00000E+00    0.12689E+01    0.10826E-06    0.24532E-02    0.38928E-05
    12    0.81052E+03    0.78575E-02    0.00000E+00    0.11178E+01    0.11164E-06    0.23586E-02    0.43401E-05
    13    0.81388E+03    0.70747E-02    0.00000E+00    0.10536E+01    0.11465E-06    0.22728E-02    0.38421E-05
    14    0.81841E+03    0.61707E-02    0.00000E+00    0.10490E+01    0.11735E-06    0.21937E-02    0.26192E-05
    15    0.82438E+03    0.54462E-02    0.00000E+00    0.10854E+01    0.11976E-06    0.21186E-02    0.10977E-05
    16    0.83218E+03    0.51354E-02    0.00000E+00    0.11474E+01    0.12192E-06    0.20455E-02   -0.31035E-06
    17    0.84174E+03    0.52577E-02    0.00000E+00    0.12190E+01    0.12385E-06    0.19758E-02   -0.14194E-05
    18    0.85209E+03    0.55864E-02    0.00000E+00    0.12880E+01    0.12558E-06    0.19109E-02   -0.21343E-05
    19    0.86406E+03    0.59731E-02    0.00000E+00    0.13485E+01    0.12712E-06    0.18500E-02   -0.24940E-05
    20    0.87598E+03    0.63750E-02    0.00000E+00    0.13956E+01    0.12847E-06    0.17917E-02   -0.25525E-05
    21    0.88818E+03    0.68261E-02    0.00000E+00    0.14345E+01    0.12966E-06    0.17356E-02   -0.22980E-05
    22    0.90096E+03    0.74545E-02    0.00000E+00    0.14711E+01    0.13071E-06    0.16816E-02   -0.17466E-05
    23    0.91411E+03    0.83266E-02    0.00000E+00    0.15068E+01    0.13163E-06    0.16300E-02   -0.10897E-05
    24    0.92770E+03    0.94512E-02    0.00000E+00    0.15422E+01    0.13242E-06    0.15813E-02   -0.53603E-06
    25    0.94167E+03    0.10840E-01    0.00000E+00    0.15799E+01    0.13311E-06    0.15352E-02   -0.19505E-06
    26    0.95581E+03    0.12459E-01    0.00000E+00    0.16232E+01    0.13368E-06    0.14915E-02   -0.11335E-06
    27    0.97037E+03    0.14266E-01    0.00000E+00    0.16690E+01    0.13417E-06    0.14497E-02   -0.18678E-06
    28    0.98520E+03    0.16245E-01    0.00000E+00    0.17146E+01    0.13457E-06    0.14098E-02   -0.30094E-06
    29    0.10004E+04    0.18406E-01    0.00000E+00    0.17584E+01    0.13488E-06    0.13718E-02   -0.44734E-06
    30    0.10158E+04    0.20765E-01    0.00000E+00    0.17974E+01    0.13511E-06    0.13361E-02   -0.64069E-06
    31    0.10313E+04    0.23305E-01    0.00000E+00    0.18290E+01    0.13527E-06    0.13021E-02   -0.88341E-06
    32    0.10472E+04    0.25999E-01    0.00000E+00    0.18503E+01    0.13536E-06    0.12693E-02   -0.11559E-05
    33    0.10634E+04    0.28861E-01    0.00000E+00    0.18591E+01    0.13539E-06    0.12374E-02   -0.13630E-05
    34    0.10798E+04    0.31919E-01    0.00000E+00    0.18549E+01    0.13537E-06    0.12063E-02   -0.14121E-05
    35    0.10964E+04    0.35188E-01    0.00000E+00    0.18415E+01    0.13529E-06    0.11761E-02   -0.12945E-05
    36    0.11130E+04    0.38684E-01    0.00000E+00    0.18210E+01    0.13517E-06    0.11469E-02   -0.10438E-05
    37    0.11298E+04    0.42405E-01    0.00000E+00    0.17895E+01    0.13500E-06    0.11192E-02   -0.78012E-06
    38    0.11470E+04    0.46358E-01    0.00000E+00    0.17445E+01    0.13479E-06    0.10933E-02   -0.61218E-06
    39    0.11645E+04    0.50551E-01    0.00000E+00    0.16886E+01    0.13454E-06    0.10689E-02   -0.51757E-06
    40    0.11822E+04    0.55003E-01    0.00000E+00    0.16254E+01    0.13425E-06    0.10454E-02   -0.44141E-06
    41    0.12001E+04    0.59732E-01    0.00000E+00    0.15571E+01    0.13393E-06    0.10224E-02   -0.34225E-06
    42    0.12180E+04    0.64740E-01    0.00000E+00    0.14817E+01    0.13358E-06    0.99984E-03   -0.23141E-06
    43    0.12360E+04    0.70025E-01    0.00000E+00    0.13962E+01    0.13319E-06    0.97793E-03   -0.13334E-06
    44    0.12540E+04    0.75569E-01    0.00000E+00    0.12985E+01    0.13278E-06    0.95671E-03   -0.72421E-07
    45    0.12723E+04    0.81366E-01    0.00000E+00    0.11865E+01    0.13234E-06    0.93630E-03   -0.72939E-07
    46    0.12910E+04    0.87413E-01    0.00000E+00    0.10570E+01    0.13188E-06    0.91674E-03   -0.15009E-06
    47    0.13098E+04    0.93712E-01    0.00000E+00    0.91173E+00    0.13139E-06    0.89792E-03   -0.28286E-06
    48    0.13286E+04    0.10027E+00    0.00000E+00    0.75653E+00    0.13089E-06    0.87970E-03   -0.44126E-06
    49    0.13476E+04    0.10708E+00    0.00000E+00    0.59648E+00    0.13037E-06    0.86192E-03   -0.59541E-06
    50    0.13670E+04    0.11411E+00    0.00000E+00    0.42996E+00    0.12983E-06    0.84443E-03   -0.71547E-06
    51    0.13866E+04    0.12134E+00    0.00000E+00    0.25346E+00    0.12927E-06    0.82713E-03   -0.77921E-06
    52    0.14066E+04    0.12886E+00    0.00000E+00    0.61723E-01    0.12870E-06    0.81015E-03   -0.79451E-06
    53    0.14266E+04    0.13681E+00    0.00000E+00   -0.14910E+00    0.12812E-06    0.79365E-03   -0.77674E-06
    54    0.14465E+04    0.14518E+00    0.00000E+00   -0.37491E+00    0.12752E-06    0.77781E-03   -0.74125E-06
    55    0.14665E+04    0.15393E+00    0.00000E+00   -0.61147E+00    0.12692E-06    0.76280E-03   -0.70333E-06
    56    0.14869E+04    0.16294E+00    0.00000E+00   -0.86062E+00    0.12630E-06    0.74873E-03   -0.67484E-06
    57    0.15076E+04    0.17209E+00    0.00000E+00   -0.11221E+01    0.12567E-06    0.73547E-03   -0.65403E-06
    58    0.15285E+04    0.18139E+00    0.00000E+00   -0.13965E+01    0.12503E-06    0.72285E-03   -0.63573E-06
    59    0.15497E+04    0.19088E+00    0.00000E+00   -0.16842E+01    0.12439E-06    0.71069E-03   -0.61480E-06
    60    0.15709E+04    0.20063E+00    0.00000E+00   -0.19843E+01    0.12373E-06    0.69879E-03   -0.58608E-06
    61    0.15927E+04    0.21071E+00    0.00000E+00   -0.22958E+01    0.12307E-06    0.68700E-03   -0.54646E-06
    62    0.16143E+04    0.22113E+00    0.00000E+00   -0.26198E+01    0.12241E-06    0.67531E-03   -0.50089E-06
    63    0.16360E+04    0.23182E+00    0.00000E+00   -0.29574E+01    0.12173E-06    0.66373E-03   -0.45631E-06
    64    0.16581E+04    0.24282E+00    0.00000E+00   -0.33100E+01    0.12105E-06    0.65224E-03   -0.41965E-06
    65    0.16803E+04    0.25408E+00    0.00000E+00   -0.36784E+01    0.12037E-06    0.64087E-03   -0.39786E-06
    66    0.17028E+04    0.26554E+00    0.00000E+00   -0.40608E+01    0.11969E-06    0.62964E-03   -0.39629E-06
    67    0.17254E+04    0.27719E+00    0.00000E+00   -0.44544E+01    0.11900E-06    0.61861E-03   -0.41413E-06
    68    0.17485E+04    0.28909E+00    0.00000E+00   -0.48574E+01    0.11831E-06    0.60788E-03   -0.44901E-06
    69    0.17717E+04    0.30119E+00    0.00000E+00   -0.52677E+01    0.11762E-06    0.59753E-03   -0.49858E-06
    70    0.17952E+04    0.31354E+00    0.00000E+00   -0.56869E+01    0.11693E-06    0.58766E-03   -0.56047E-06
