#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11105E+04    0.33933E+01    0.13714E-02    0.33933E+01    0.53711E-01   -0.66267E-05    0.13714E-02   -0.66267E-05    0.82460E-08
     3    0.10366E+04    0.42366E+01    0.96557E-03    0.42366E+01    0.87266E-01   -0.57110E-05    0.96557E-03   -0.57110E-05    0.50149E-08
     4    0.96742E+03    0.43471E+01    0.72876E-03    0.43471E+01    0.97586E-01   -0.44378E-05    0.72876E-03   -0.44378E-05    0.34653E-08
     5    0.91405E+03    0.40261E+01    0.57446E-03    0.40261E+01    0.86134E-01   -0.31805E-05    0.57446E-03   -0.31805E-05    0.25737E-08
     6    0.87516E+03    0.35033E+01    0.46682E-03    0.35033E+01    0.63354E-01   -0.20703E-05    0.46682E-03   -0.20703E-05    0.20024E-08
     7    0.84809E+03    0.29232E+01    0.38827E-03    0.29232E+01    0.40177E-01   -0.11662E-05    0.38827E-03   -0.11662E-05    0.16098E-08
     8    0.82980E+03    0.23736E+01    0.32856E-03    0.23736E+01    0.23127E-01   -0.49089E-06    0.32856E-03   -0.49089E-06    0.13264E-08
     9    0.81823E+03    0.19005E+01    0.28159E-03    0.19005E+01    0.13577E-01   -0.38205E-07    0.28159E-03   -0.38205E-07    0.11139E-08
    10    0.81188E+03    0.15293E+01    0.24390E-03    0.15293E+01    0.96077E-02    0.22354E-06    0.24390E-03    0.22354E-06    0.94974E-09
    11    0.80926E+03    0.12689E+01    0.21352E-03    0.12689E+01    0.83881E-02    0.33882E-06    0.21352E-03    0.33882E-06    0.82016E-09
    12    0.81052E+03    0.11178E+01    0.18881E-03    0.11178E+01    0.78575E-02    0.34805E-06    0.18881E-03    0.34805E-06    0.71551E-09
    13    0.81388E+03    0.10536E+01    0.16847E-03    0.10536E+01    0.70747E-02    0.28479E-06    0.16847E-03    0.28479E-06    0.62994E-09
    14    0.81841E+03    0.10490E+01    0.15137E-03    0.10490E+01    0.61707E-02    0.18140E-06    0.15137E-03    0.18140E-06    0.55878E-09
    15    0.82438E+03    0.10854E+01    0.13675E-03    0.10854E+01    0.54462E-02    0.70854E-07    0.13675E-03    0.70854E-07    0.49902E-09
    16    0.83218E+03    0.11474E+01    0.12403E-03    0.11474E+01    0.51354E-02   -0.18955E-07    0.12403E-03   -0.18955E-07    0.44823E-09
    17    0.84174E+03    0.12190E+01    0.11295E-03    0.12190E+01    0.52577E-02   -0.81142E-07    0.11295E-03   -0.81142E-07    0.40475E-09
    18    0.85209E+03    0.12880E+01    0.10333E-03    0.12880E+01    0.55864E-02   -0.11556E-06    0.10333E-03   -0.11556E-06    0.36719E-09
    19    0.86406E+03    0.13485E+01    0.94904E-04    0.13485E+01    0.59731E-02   -0.12794E-06    0.94904E-04   -0.12794E-06    0.33451E-09
    20    0.87598E+03    0.13956E+01    0.87427E-04    0.13956E+01    0.63750E-02   -0.12444E-06    0.87427E-04   -0.12444E-06    0.30587E-09
    21    0.88818E+03    0.14345E+01    0.80748E-04    0.14345E+01    0.68261E-02   -0.10691E-06    0.80748E-04   -0.10691E-06    0.28065E-09
    22    0.90096E+03    0.14711E+01    0.74756E-04    0.14711E+01    0.74545E-02   -0.77838E-07    0.74756E-04   -0.77838E-07    0.25832E-09
    23    0.91411E+03    0.15068E+01    0.69379E-04    0.15068E+01    0.83266E-02   -0.46380E-07    0.69379E-04   -0.46380E-07    0.23846E-09
    24    0.92770E+03    0.15422E+01    0.64556E-04    0.15422E+01    0.94512E-02   -0.21882E-07    0.64556E-04   -0.21882E-07    0.22071E-09
    25    0.94167E+03    0.15799E+01    0.60215E-04    0.15799E+01    0.10840E-01   -0.76504E-08    0.60215E-04   -0.76504E-08    0.20478E-09
    26    0.95581E+03    0.16232E+01    0.56291E-04    0.16232E+01    0.12459E-01   -0.41839E-08    0.56291E-04   -0.41839E-08    0.19043E-09
    27    0.97037E+03    0.16690E+01    0.52726E-04    0.16690E+01    0.14266E-01   -0.67930E-08    0.52726E-04   -0.67930E-08    0.17747E-09
    28    0.98520E+03    0.17146E+01    0.49473E-04    0.17146E+01    0.16245E-01   -0.10600E-07    0.49473E-04   -0.10600E-07    0.16573E-09
    29    0.10004E+04    0.17584E+01    0.46509E-04    0.17584E+01    0.18406E-01   -0.15166E-07    0.46509E-04   -0.15166E-07    0.15504E-09
    30    0.10158E+04    0.17974E+01    0.43811E-04    0.17974E+01    0.20765E-01   -0.21011E-07    0.43811E-04   -0.21011E-07    0.14528E-09
    31    0.10313E+04    0.18290E+01    0.41341E-04    0.18290E+01    0.23305E-01   -0.28048E-07    0.41341E-04   -0.28048E-07    0.13636E-09
    32    0.10472E+04    0.18503E+01    0.39059E-04    0.18503E+01    0.25999E-01   -0.35534E-07    0.39059E-04   -0.35534E-07    0.12818E-09
    33    0.10634E+04    0.18591E+01    0.36941E-04    0.18591E+01    0.28861E-01   -0.40691E-07    0.36941E-04   -0.40691E-07    0.12067E-09
