#    L    TT             EE             BB             TE          
    91    0.23436E+04    0.60856E+00    0.21513E-02   -0.16848E+02
    92    0.23721E+04    0.62324E+00    0.21991E-02   -0.17458E+02
    93    0.24009E+04    0.63789E+00    0.22476E-02   -0.18072E+02
    94    0.24297E+04    0.65247E+00    0.22967E-02   -0.18690E+02
    95    0.24589E+04    0.66699E+00    0.23463E-02   -0.19311E+02
    96    0.24880E+04    0.68143E+00    0.23965E-02   -0.19936E+02
    97    0.25176E+04    0.69577E+00    0.24473E-02   -0.20563E+02
    98    0.25473E+04    0.71002E+00    0.24986E-02   -0.21191E+02
    99    0.25772E+04    0.72412E+00    0.25506E-02   -0.21822E+02
   100    0.26073E+04    0.73810E+00    0.26031E-02   -0.22451E+02
   101    0.26375E+04    0.75199E+00    0.26563E-02   -0.23083E+02
   102    0.26683E+04    0.76566E+00    0.27100E-02   -0.23714E+02
   103    0.26990E+04    0.77918E+00    0.27644E-02   -0.24346E+02
   104    0.27299E+04    0.79256E+00    0.28193E-02   -0.24975E+02
   105    0.27610E+04    0.80571E+00    0.28749E-02   -0.25603E+02
   106    0.27922E+04    0.81871E+00    0.29311E-02   -0.26230E+02
   107    0.28234E+04    0.83142E+00    0.29879E-02   -0.26854E+02
   108    0.28549E+04    0.84391E+00    0.30453E-02   -0.27475E+02
   109    0.28866E+04    0.85610E+00    0.31033E-02   -0.28092E+02
   110    0.29184E+04    0.86801E+00    0.31620E-02   -0.28704E+02
   111    0.29503E+04    0.87969E+00    0.32213E-02   -0.29312E+02
   112    0.29824E+04    0.89108E+00    0.32812E-02   -0.29916E+02
   113    0.30147E+04    0.90219E+00    0.33418E-02   -0.30513E+02
   114    0.30470E+04    0.91292E+00    0.34030E-02   -0.31104E+02
   115    0.30796E+04    0.92344E+00    0.34649E-02   -0.31688E+02
   116    0.31121E+04    0.93352E+00    0.35274E-02   -0.32264E+02
   117    0.31450E+04    0.94324E+00    0.35905E-02   -0.32833E+02
   118    0.31780E+04    0.95274E+00    0.36544E-02   -0.33393E+02
   119    0.32109E+04    0.96188E+00    0.37188E-02   -0.33944E+02
   120    0.32440E+04    0.97051E+00    0.37840E-02   -0.34485E+02
   121    0.32771E+04    0.97893E+00    0.38498E-02   -0.35016E+02
