  5.6000002E-02   36.80317       1.942250    
  0.4060000       41.52250      0.7208962    
  0.4300000       41.74819      0.7137703    
  0.5190000       43.19551      0.5506315    
  0.5490000       41.79765      0.7557487    
  0.6300000       42.78879      0.5038877    
  0.6330000       43.21689      0.4145272    
  0.6600000       43.69461      0.3615488    
  0.6900000       43.18369      0.4032984    
  0.7070000       42.97255      0.4848807    
  0.7200000       43.22190      0.4656531    
  0.7490000       43.06592      0.4759052    
  0.7940000       43.45581      0.4079513    
  0.8110000       43.33385      0.4656531    
  0.8150000       43.51528      0.4015809    
  0.8270000       43.90276      0.3615488    
  0.8400000       43.86024      0.3938210    
  0.8600000       43.79385      0.4932555    
  0.9670000       43.51328      0.5459923    
  0.9740000       44.04204      0.4845790    
  0.9960000       43.75537      0.5176398    
   1.079000       44.47687      0.4736779    
   1.144000       44.10241      0.5118679    
   1.190000       44.91383      0.4301108    
   1.210000       44.95496      0.5301848    
   1.336000       45.31689      0.4894543    
   1.480000       45.00467      0.5426777    
   1.575000       46.22338      0.4330953    
   1.681000       45.91784      0.4323682    
   1.790000       46.10162      0.4134426    
